seed,epoch,test-loss,total-acc,test-acc_feature0,test-loss_feature0
0,0,0.69477260,0.49121094,0.49121094,0.69477260
0,100,0.01001425,1.00000000,1.00000000,0.01001425
0,200,0.00219089,1.00000000,1.00000000,0.00219089
0,300,0.00110208,1.00000000,1.00000000,0.00110208
0,400,0.00070833,1.00000000,1.00000000,0.00070833
0,500,0.00051190,1.00000000,1.00000000,0.00051190
0,600,0.00039621,1.00000000,1.00000000,0.00039621
0,700,0.00032079,1.00000000,1.00000000,0.00032079
0,800,0.00026809,1.00000000,1.00000000,0.00026809
0,900,0.00022939,1.00000000,1.00000000,0.00022939
0,1000,0.00019990,1.00000000,1.00000000,0.00019990
0,1100,0.00017672,1.00000000,1.00000000,0.00017672
0,1200,0.00015807,1.00000000,1.00000000,0.00015807
0,1300,0.00014279,1.00000000,1.00000000,0.00014279
0,1400,0.00013003,1.00000000,1.00000000,0.00013003
0,1500,0.00011927,1.00000000,1.00000000,0.00011927
0,1600,0.00011007,1.00000000,1.00000000,0.00011007
0,1700,0.00010211,1.00000000,1.00000000,0.00010211
0,1800,0.00009517,1.00000000,1.00000000,0.00009517
0,1900,0.00008910,1.00000000,1.00000000,0.00008910
0,1999,0.00008376,1.00000000,1.00000000,0.00008376
1,0,0.69886416,0.47460938,0.47460938,0.69886416
1,100,0.01470718,1.00000000,1.00000000,0.01470718
1,200,0.00258763,1.00000000,1.00000000,0.00258763
1,300,0.00123086,1.00000000,1.00000000,0.00123086
1,400,0.00076980,1.00000000,1.00000000,0.00076980
1,500,0.00054701,1.00000000,1.00000000,0.00054701
1,600,0.00041846,1.00000000,1.00000000,0.00041846
1,700,0.00033583,1.00000000,1.00000000,0.00033583
1,800,0.00027869,1.00000000,1.00000000,0.00027869
1,900,0.00023709,1.00000000,1.00000000,0.00023709
1,1000,0.00020560,1.00000000,1.00000000,0.00020560
1,1100,0.00018100,1.00000000,1.00000000,0.00018100
1,1200,0.00016130,1.00000000,1.00000000,0.00016130
1,1300,0.00014522,1.00000000,1.00000000,0.00014522
1,1400,0.00013188,1.00000000,1.00000000,0.00013188
1,1500,0.00012065,1.00000000,1.00000000,0.00012065
1,1600,0.00011109,1.00000000,1.00000000,0.00011109
1,1700,0.00010285,1.00000000,1.00000000,0.00010285
1,1800,0.00009567,1.00000000,1.00000000,0.00009567
1,1900,0.00008937,1.00000000,1.00000000,0.00008937
1,1999,0.00008387,1.00000000,1.00000000,0.00008387
2,0,0.68214202,0.51562500,0.51562500,0.68214202
2,100,0.01079805,1.00000000,1.00000000,0.01079805
2,200,0.00222627,1.00000000,1.00000000,0.00222627
2,300,0.00109097,1.00000000,1.00000000,0.00109097
2,400,0.00069007,1.00000000,1.00000000,0.00069007
2,500,0.00049312,1.00000000,1.00000000,0.00049312
2,600,0.00037844,1.00000000,1.00000000,0.00037844
2,700,0.00030428,1.00000000,1.00000000,0.00030428
2,800,0.00025283,1.00000000,1.00000000,0.00025283
2,900,0.00021528,1.00000000,1.00000000,0.00021528
2,1000,0.00018677,1.00000000,1.00000000,0.00018677
2,1100,0.00016450,1.00000000,1.00000000,0.00016450
2,1200,0.00014664,1.00000000,1.00000000,0.00014664
2,1300,0.00013206,1.00000000,1.00000000,0.00013206
2,1400,0.00011994,1.00000000,1.00000000,0.00011994
2,1500,0.00010974,1.00000000,1.00000000,0.00010974
2,1600,0.00010103,1.00000000,1.00000000,0.00010103
2,1700,0.00009353,1.00000000,1.00000000,0.00009353
2,1800,0.00008697,1.00000000,1.00000000,0.00008697
2,1900,0.00008124,1.00000000,1.00000000,0.00008124
2,1999,0.00007624,1.00000000,1.00000000,0.00007624
3,0,0.68973041,0.55273438,0.55273438,0.68973041
3,100,0.00847955,1.00000000,1.00000000,0.00847955
3,200,0.00202090,1.00000000,1.00000000,0.00202090
3,300,0.00102852,1.00000000,1.00000000,0.00102852
3,400,0.00066252,1.00000000,1.00000000,0.00066252
