seed,epoch,test-loss,total-acc,test-acc_feature1,test-loss_feature1
0,0,0.69884193,0.50000000,0.50000000,0.69884193
0,100,0.69375038,0.48144531,0.48144531,0.69375038
0,200,0.69371939,0.47949219,0.47949219,0.69371939
0,300,0.69371206,0.47949219,0.47949219,0.69371206
0,400,0.69373226,0.47949219,0.47949219,0.69373226
0,500,0.69376522,0.48437500,0.48437500,0.69376522
0,600,0.69381279,0.49121094,0.49121094,0.69381279
0,700,0.69386375,0.49316406,0.49316406,0.69386375
0,800,0.69392538,0.49218750,0.49218750,0.69392538
0,900,0.69398522,0.49316406,0.49316406,0.69398522
0,1000,0.69404012,0.49218750,0.49218750,0.69404012
0,1100,0.69410700,0.49218750,0.49218750,0.69410700
0,1200,0.69417644,0.49121094,0.49121094,0.69417644
0,1300,0.69424868,0.49414062,0.49414062,0.69424868
0,1400,0.69433022,0.48925781,0.48925781,0.69433022
0,1500,0.69441712,0.48632812,0.48632812,0.69441712
0,1600,0.69450390,0.48632812,0.48632812,0.69450390
0,1700,0.69458455,0.49023438,0.49023438,0.69458455
0,1800,0.69466436,0.48925781,0.48925781,0.69466436
0,1900,0.69475985,0.48925781,0.48925781,0.69475985
0,2000,0.69486839,0.49609375,0.49609375,0.69486839
0,2100,0.69498765,0.49707031,0.49707031,0.69498765
0,2200,0.69511724,0.49414062,0.49414062,0.69511724
0,2300,0.69524258,0.49218750,0.49218750,0.69524258
0,2400,0.69542879,0.49121094,0.49121094,0.69542879
0,2500,0.69568616,0.49316406,0.49316406,0.69568616
0,2600,0.69597864,0.48632812,0.48632812,0.69597864
0,2700,0.69631374,0.48437500,0.48437500,0.69631374
0,2800,0.69663858,0.48632812,0.48632812,0.69663858
0,2900,0.69697571,0.48828125,0.48828125,0.69697571
0,3000,0.69739652,0.49023438,0.49023438,0.69739652
0,3100,0.69792616,0.49023438,0.49023438,0.69792616
0,3200,0.69847488,0.48632812,0.48632812,0.69847488
0,3300,0.69905734,0.49121094,0.49121094,0.69905734
0,3400,0.69970554,0.49316406,0.49316406,0.69970554
0,3500,0.70043969,0.49218750,0.49218750,0.70043969
0,3600,0.70124805,0.49218750,0.49218750,0.70124805
0,3700,0.70214498,0.49414062,0.49414062,0.70214498
0,3800,0.70319462,0.49511719,0.49511719,0.70319462
0,3900,0.70436060,0.48828125,0.48828125,0.70436060
0,4000,0.70581388,0.48828125,0.48828125,0.70581388
0,4100,0.70743167,0.48535156,0.48535156,0.70743167
0,4200,0.70926023,0.49316406,0.49316406,0.70926023
0,4300,0.71151376,0.49218750,0.49218750,0.71151376
0,4400,0.71408689,0.49511719,0.49511719,0.71408689
0,4500,0.71696562,0.49316406,0.49316406,0.71696562
0,4600,0.72008455,0.49609375,0.49609375,0.72008455
0,4700,0.72346783,0.50000000,0.50000000,0.72346783
