seed,epoch,test-loss,total-acc,test-acc_feature0-linear,test-acc_feature1-xor_xor_xor,test-loss_feature0-linear,test-loss_feature1-xor_xor_xor
0,0,0.68860328,0.52783203,0.54882812,0.50683594,0.68419343,0.69301313
0,500,0.34778443,0.75048828,1.00000000,0.50097656,0.00157641,0.69399238
0,1000,0.34702882,0.74658203,1.00000000,0.49316406,0.00053499,0.69352257
0,1500,0.34681422,0.74560547,1.00000000,0.49121094,0.00030196,0.69332647
0,2000,0.34668946,0.74707031,1.00000000,0.49414062,0.00020359,0.69317538
0,2500,0.34659871,0.74902344,1.00000000,0.49804688,0.00015070,0.69304669
0,3000,0.34651792,0.75146484,1.00000000,0.50292969,0.00011847,0.69291729
0,3500,0.34645128,0.75341797,1.00000000,0.50683594,0.00009646,0.69280612
0,4000,0.34640095,0.75244141,1.00000000,0.50488281,0.00008102,0.69272089
0,4500,0.34635943,0.75195312,1.00000000,0.50390625,0.00006947,0.69264936
0,5000,0.34628713,0.75048828,1.00000000,0.50097656,0.00006048,0.69251370
0,5500,0.34625071,0.74951172,1.00000000,0.49902344,0.00005313,0.69244826
0,6000,0.34616774,0.75292969,1.00000000,0.50585938,0.00004697,0.69228852
0,6500,0.34610116,0.75634766,1.00000000,0.51269531,0.00004189,0.69216043
0,7000,0.34602803,0.75585938,1.00000000,0.51171875,0.00003748,0.69201863
0,7500,0.34577495,0.75976562,1.00000000,0.51953125,0.00003342,0.69151646
0,8000,0.34339109,0.77636719,1.00000000,0.55273438,0.00002983,0.68675238
0,8500,0.32014006,0.87695312,1.00000000,0.75390625,0.00003561,0.64024448
0,9000,0.08182713,0.98144531,1.00000000,0.96289062,0.00004851,0.16360575
0,9500,0.00440079,1.00000000,1.00000000,1.00000000,0.00001625,0.00878532
0,10000,0.00156264,1.00000000,1.00000000,1.00000000,0.00001346,0.00311182
0,10500,0.00086892,1.00000000,1.00000000,1.00000000,0.00001131,0.00172654
1,0,0.69616669,0.49218750,0.48535156,0.49902344,0.69743729,0.69489616
1,500,0.34822899,0.74169922,1.00000000,0.48339844,0.00170245,0.69475555
1,1000,0.34759045,0.74707031,1.00000000,0.49414062,0.00058591,0.69459504
1,1500,0.34741843,0.74267578,1.00000000,0.48535156,0.00033528,0.69450146
1,2000,0.34742254,0.74658203,1.00000000,0.49316406,0.00022974,0.69461536
1,2500,0.34737682,0.75048828,1.00000000,0.50097656,0.00017245,0.69458115
1,3000,0.34729314,0.75292969,1.00000000,0.50585938,0.00013773,0.69444859
1,3500,0.34724900,0.75878906,1.00000000,0.51757812,0.00011438,0.69438368
1,4000,0.34722370,0.75634766,1.00000000,0.51269531,0.00009769,0.69434977
1,4500,0.34720272,0.75732422,1.00000000,0.51464844,0.00008554,0.69431990
1,5000,0.34719369,0.75488281,1.00000000,0.50976562,0.00007582,0.69431162
1,5500,0.34719455,0.75634766,1.00000000,0.51269531,0.00006827,0.69432080
1,6000,0.34718227,0.75341797,1.00000000,0.50683594,0.00006173,0.69430280
1,6500,0.34708732,0.75781250,1.00000000,0.51562500,0.00005694,0.69411767
1,7000,0.34658110,0.75781250,1.00000000,0.51562500,0.00005473,0.69310755
1,7500,0.34416369,0.77294922,1.00000000,0.54589844,0.00006230,0.68826503
1,8000,0.33022654,0.83056641,1.00000000,0.66113281,0.00014695,0.66030610
1,8500,0.17620602,0.96826172,1.00000000,0.93652344,0.00344667,0.34896535
1,9000,0.01729509,1.00000000,1.00000000,1.00000000,0.00108311,0.03350706
1,9500,0.00515625,1.00000000,1.00000000,1.00000000,0.00035637,0.00995612
1,10000,0.00259258,1.00000000,1.00000000,1.00000000,0.00018409,0.00500107
1,10500,0.00162003,1.00000000,1.00000000,1.00000000,0.00011706,0.00312299
1,11000,0.00113901,1.00000000,1.00000000,1.00000000,0.00008272,0.00219531
1,11500,0.00086021,1.00000000,1.00000000,1.00000000,0.00006261,0.00165780
2,0,0.69503260,0.47363281,0.44921875,0.49804688,0.69600236,0.69406283
2,500,0.34781754,0.74658203,1.00000000,0.49316406,0.00186263,0.69377249
2,1000,0.34709734,0.74853516,1.00000000,0.49707031,0.00060685,0.69358778
2,1500,0.34692186,0.74951172,1.00000000,0.49902344,0.00033992,0.69350386
2,2000,0.34684926,0.74609375,1.00000000,0.49218750,0.00022928,0.69346929
2,2500,0.34685171,0.74218750,1.00000000,0.48437500,0.00017002,0.69353336
2,3000,0.34689507,0.74511719,1.00000000,0.49023438,0.00013350,0.69365662
2,3500,0.34694111,0.75000000,1.00000000,0.50000000,0.00010916,0.69377309
2,4000,0.34701401,0.74609375,1.00000000,0.49218750,0.00009213,0.69393599
2,4500,0.34709045,0.74462891,1.00000000,0.48925781,0.00007928,0.69410163
2,5000,0.34716773,0.74316406,1.00000000,0.48632812,0.00006930,0.69426608
2,5500,0.34724975,0.73974609,1.00000000,0.47949219,0.00006098,0.69443846
2,6000,0.34734809,0.74121094,1.00000000,0.48242188,0.00005429,0.69464183
2,6500,0.34747458,0.74121094,1.00000000,0.48242188,0.00004886,0.69490021
2,7000,0.34758991,0.74121094,1.00000000,0.48242188,0.00004417,0.69513571
2,7500,0.34773213,0.74316406,1.00000000,0.48632812,0.00004033,0.69542396
2,8000,0.34787765,0.74414062,1.00000000,0.48828125,0.00003698,0.69571829
2,8500,0.34803116,0.74365234,1.00000000,0.48730469,0.00003412,0.69602823
2,9000,0.34816194,0.74365234,1.00000000,0.48730469,0.00003155,0.69629234
2,9500,0.34827346,0.74023438,1.00000000,0.48046875,0.00002932,0.69651765
2,10000,0.34835288,0.73876953,1.00000000,0.47753906,0.00002705,0.69667876
2,10500,0.34827086,0.73681641,1.00000000,0.47363281,0.00002477,0.69651693
2,11000,0.34733239,0.74658203,1.00000000,0.49316406,0.00002314,0.69464171
2,11500,0.32087040,0.85449219,1.00000000,0.70898438,0.00032475,0.64141601
2,12000,0.16927350,0.95654297,1.00000000,0.91308594,0.00309555,0.33545145
2,12500,0.03601200,0.99560547,1.00000000,0.99121094,0.00100763,0.07101637
2,13000,0.00826598,1.00000000,1.00000000,1.00000000,0.00026383,0.01626812
2,13500,0.00337889,1.00000000,1.00000000,1.00000000,0.00010051,0.00665726
2,14000,0.00190223,1.00000000,1.00000000,1.00000000,0.00005731,0.00374714
2,14500,0.00126264,1.00000000,1.00000000,1.00000000,0.00003896,0.00248633
2,15000,0.00091445,1.00000000,1.00000000,1.00000000,0.00002871,0.00180019
3,0,0.69100380,0.55615234,0.61230469,0.50000000,0.68832093,0.69368666
3,500,0.34774113,0.73925781,1.00000000,0.47851562,0.00174382,0.69373834
3,1000,0.34707463,0.74462891,1.00000000,0.48925781,0.00057985,0.69356942
3,1500,0.34692594,0.74560547,1.00000000,0.49121094,0.00032655,0.69352537
3,2000,0.34682703,0.74658203,1.00000000,0.49316406,0.00022086,0.69343323
3,2500,0.34673759,0.75244141,1.00000000,0.50488281,0.00016511,0.69331014
3,3000,0.34656361,0.75292969,1.00000000,0.50585938,0.00013290,0.69299424
3,3500,0.34596264,0.76562500,1.00000000,0.53125000,0.00012098,0.69180435
3,4000,0.33568269,0.85888672,1.00000000,0.71777344,0.00044692,0.67091852
3,4500,0.25532478,0.90966797,1.00000000,0.81933594,0.00332845,0.50732106
3,5000,0.11237210,0.96875000,1.00000000,0.93750000,0.00264081,0.22210339
3,5500,0.01799789,0.99951172,0.99902344,1.00000000,0.00180569,0.03419008
3,6000,0.00563442,1.00000000,1.00000000,1.00000000,0.00106659,0.01020225
3,6500,0.00281094,1.00000000,1.00000000,1.00000000,0.00069585,0.00492604
3,7000,0.00176127,1.00000000,1.00000000,1.00000000,0.00051082,0.00301172
3,7500,0.00124861,1.00000000,1.00000000,1.00000000,0.00040587,0.00209136
3,8000,0.00095387,1.00000000,1.00000000,1.00000000,0.00034082,0.00156691
4,0,0.69377887,0.51318359,0.52636719,0.50000000,0.69227481,0.69528276
4,500,0.34755114,0.75244141,1.00000000,0.50488281,0.00165472,0.69344759
4,1000,0.34690374,0.75830078,1.00000000,0.51660156,0.00057608,0.69323140
4,1500,0.34671122,0.75927734,1.00000000,0.51855469,0.00033072,0.69309175
4,2000,0.34659082,0.75390625,1.00000000,0.50781250,0.00022739,0.69295430
4,2500,0.34647870,0.75634766,1.00000000,0.51269531,0.00017208,0.69278538
4,3000,0.34636241,0.75439453,1.00000000,0.50878906,0.00013838,0.69258642
4,3500,0.34613499,0.76074219,1.00000000,0.52148438,0.00011786,0.69215208
4,4000,0.34455284,0.79541016,1.00000000,0.59082031,0.00012221,0.68898350
4,4500,0.32858616,0.87353516,1.00000000,0.74707031,0.00109083,0.65608156
4,5000,0.21579652,0.93896484,1.00000000,0.87792969,0.00482228,0.42677072
4,5500,0.04190866,0.99414062,1.00000000,0.98828125,0.00125122,0.08256610
4,6000,0.00814167,1.00000000,1.00000000,1.00000000,0.00051121,0.01577213
4,6500,0.00318305,1.00000000,1.00000000,1.00000000,0.00026043,0.00610567
4,7000,0.00177574,1.00000000,1.00000000,1.00000000,0.00015855,0.00339292
4,7500,0.00117456,1.00000000,1.00000000,1.00000000,0.00010918,0.00223994
4,8000,0.00085592,1.00000000,1.00000000,1.00000000,0.00008248,0.00162936
