seed,epoch,test-loss,total-acc,test-acc_feature0,test-acc_feature1,test-loss_feature0,test-loss_feature1
0,0,0.69323564,0.52148438,0.54394531,0.49902344,0.69047034,0.69600093
0,100,0.42047220,0.75732422,1.00000000,0.51464844,0.14694598,0.69399846
0,200,0.35217953,0.75048828,1.00000000,0.50097656,0.00982323,0.69453573
0,300,0.34916794,0.74853516,1.00000000,0.49707031,0.00375673,0.69457912
0,400,0.34836149,0.74560547,1.00000000,0.49121094,0.00214811,0.69457489
0,500,0.34799996,0.74609375,1.00000000,0.49218750,0.00145553,0.69454437
0,600,0.34779924,0.74853516,1.00000000,0.49707031,0.00108395,0.69451451
0,700,0.34767336,0.75097656,1.00000000,0.50195312,0.00085380,0.69449294
0,800,0.34759000,0.75048828,1.00000000,0.50097656,0.00069930,0.69448066
0,900,0.34754592,0.75244141,1.00000000,0.50488281,0.00058892,0.69450283
0,1000,0.34751827,0.75390625,1.00000000,0.50781250,0.00050659,0.69452995
0,1100,0.34749678,0.75341797,1.00000000,0.50683594,0.00044333,0.69455016
0,1200,0.34747714,0.75244141,1.00000000,0.50488281,0.00039299,0.69456124
0,1300,0.34746623,0.75048828,1.00000000,0.50097656,0.00035241,0.69458014
0,1400,0.34745908,0.75097656,1.00000000,0.50195312,0.00031892,0.69459921
0,1500,0.34746265,0.75146484,1.00000000,0.50292969,0.00029062,0.69463468
0,1600,0.34747460,0.75097656,1.00000000,0.50195312,0.00026640,0.69468278
0,1700,0.34748381,0.75146484,1.00000000,0.50292969,0.00024579,0.69472194
0,1800,0.34749648,0.75146484,1.00000000,0.50292969,0.00022796,0.69476503
0,1900,0.34750301,0.75146484,1.00000000,0.50292969,0.00021242,0.69479346
0,2000,0.34751308,0.75048828,1.00000000,0.50097656,0.00019881,0.69482738
0,2100,0.34752274,0.74853516,1.00000000,0.49707031,0.00018671,0.69485873
0,2200,0.34754604,0.75000000,1.00000000,0.50000000,0.00017592,0.69491619
0,2300,0.34756330,0.74951172,1.00000000,0.49902344,0.00016615,0.69496047
0,2400,0.34757563,0.74853516,1.00000000,0.49707031,0.00015711,0.69499415
0,2500,0.34759629,0.74804688,1.00000000,0.49609375,0.00014900,0.69504356
0,2600,0.34760499,0.74853516,1.00000000,0.49707031,0.00014170,0.69506824
0,2700,0.34762281,0.74804688,1.00000000,0.49609375,0.00013509,0.69511056
0,2800,0.34765273,0.74755859,1.00000000,0.49511719,0.00012903,0.69517648
0,2900,0.34767228,0.74755859,1.00000000,0.49511719,0.00012350,0.69522107
0,3000,0.34770268,0.74462891,1.00000000,0.48925781,0.00011845,0.69528699
0,3100,0.34772986,0.74511719,1.00000000,0.49023438,0.00011384,0.69534594
0,3200,0.34774852,0.74414062,1.00000000,0.48828125,0.00010970,0.69538730
0,3300,0.34776872,0.74560547,1.00000000,0.49121094,0.00010587,0.69543153
0,3400,0.34779716,0.74414062,1.00000000,0.48828125,0.00010222,0.69549209
0,3500,0.34784216,0.74609375,1.00000000,0.49218750,0.00009874,0.69558561
0,3600,0.34788430,0.74658203,1.00000000,0.49316406,0.00009551,0.69567311
0,3700,0.34793109,0.74755859,1.00000000,0.49511719,0.00009251,0.69576967
0,3800,0.34797221,0.74316406,1.00000000,0.48632812,0.00008974,0.69585472
0,3900,0.34803134,0.74365234,1.00000000,0.48730469,0.00008714,0.69597548
0,4000,0.34807903,0.74365234,1.00000000,0.48730469,0.00008460,0.69607341
0,4100,0.34813368,0.74658203,1.00000000,0.49316406,0.00008221,0.69618517
0,4200,0.34818852,0.74267578,1.00000000,0.48535156,0.00007993,0.69629705
0,4300,0.34824550,0.74462891,1.00000000,0.48925781,0.00007769,0.69641334
0,4400,0.34830889,0.74414062,1.00000000,0.48828125,0.00007552,0.69654226
0,4500,0.34836763,0.74462891,1.00000000,0.48925781,0.00007350,0.69666171
0,4600,0.34844434,0.74609375,1.00000000,0.49218750,0.00007163,0.69681704
0,4700,0.34850073,0.74511719,1.00000000,0.49023438,0.00006979,0.69693166
0,4800,0.34855983,0.74902344,1.00000000,0.49804688,0.00006795,0.69705176
0,4900,0.34864467,0.74755859,1.00000000,0.49511719,0.00006627,0.69722307
0,5000,0.34870046,0.74804688,1.00000000,0.49609375,0.00006476,0.69733614
0,5100,0.34879467,0.74755859,1.00000000,0.49511719,0.00006327,0.69752604
0,5200,0.34886807,0.75000000,1.00000000,0.50000000,0.00006183,0.69767433
0,5300,0.34894043,0.74951172,1.00000000,0.49902344,0.00006041,0.69782043
0,5400,0.34903532,0.75048828,1.00000000,0.50097656,0.00005905,0.69801158
0,5500,0.34914416,0.75048828,1.00000000,0.50097656,0.00005782,0.69823056
0,5600,0.34927094,0.75146484,1.00000000,0.50292969,0.00005673,0.69848514
0,5700,0.34939194,0.74609375,1.00000000,0.49218750,0.00005561,0.69872832
0,5800,0.34951887,0.74853516,1.00000000,0.49707031,0.00005458,0.69898313
0,5900,0.34967732,0.74755859,1.00000000,0.49511719,0.00005356,0.69930106
0,6000,0.34979981,0.74560547,1.00000000,0.49121094,0.00005268,0.69954693
0,6100,0.34998840,0.74755859,1.00000000,0.49511719,0.00005188,0.69992495
0,6200,0.35008979,0.74658203,1.00000000,0.49316406,0.00005105,0.70012856
0,6300,0.35023519,0.74804688,1.00000000,0.49609375,0.00005026,0.70042014
0,6400,0.35038438,0.74755859,1.00000000,0.49511719,0.00004944,0.70071930
0,6500,0.35054380,0.74707031,1.00000000,0.49414062,0.00004859,0.70103896
0,6600,0.35073754,0.74707031,1.00000000,0.49414062,0.00004783,0.70142734
0,6700,0.35095522,0.74658203,1.00000000,0.49316406,0.00004700,0.70186341
0,6800,0.35118639,0.74267578,1.00000000,0.48535156,0.00004620,0.70232654
0,6900,0.35142016,0.74414062,1.00000000,0.48828125,0.00004540,0.70279491
0,7000,0.35170028,0.74316406,1.00000000,0.48632812,0.00004472,0.70335579
0,7100,0.35198927,0.74023438,1.00000000,0.48046875,0.00004404,0.70393455
0,7200,0.35233170,0.74169922,1.00000000,0.48339844,0.00004347,0.70461988
0,7300,0.35269141,0.73681641,1.00000000,0.47363281,0.00004273,0.70534015
0,7400,0.35316402,0.73779297,1.00000000,0.47558594,0.00004193,0.70628613
0,7500,0.35357136,0.73876953,1.00000000,0.47753906,0.00004116,0.70710152
0,7600,0.35403129,0.73486328,1.00000000,0.46972656,0.00004039,0.70802224
0,7700,0.35458645,0.73828125,1.00000000,0.47656250,0.00003975,0.70913315
0,7800,0.35520351,0.73730469,1.00000000,0.47460938,0.00003916,0.71036792
0,7900,0.35585377,0.73632812,1.00000000,0.47265625,0.00003858,0.71166897
0,8000,0.35643327,0.74169922,1.00000000,0.48339844,0.00003792,0.71282864
0,8100,0.35707039,0.74023438,1.00000000,0.48046875,0.00003733,0.71410352
0,8200,0.35774541,0.74169922,1.00000000,0.48339844,0.00003681,0.71545404
0,8300,0.35850203,0.74072266,1.00000000,0.48144531,0.00003630,0.71696776
0,8400,0.35923231,0.74023438,1.00000000,0.48046875,0.00003577,0.71842885
0,8500,0.36000001,0.74121094,1.00000000,0.48242188,0.00003530,0.71996474
0,8600,0.36095184,0.74218750,1.00000000,0.48437500,0.00003486,0.72186875
0,8700,0.36175397,0.74169922,1.00000000,0.48339844,0.00003435,0.72347367
0,8800,0.36263847,0.74218750,1.00000000,0.48437500,0.00003377,0.72524321
0,8900,0.36356276,0.74267578,1.00000000,0.48535156,0.00003320,0.72709227
0,9000,0.36447674,0.74511719,1.00000000,0.49023438,0.00003262,0.72892094
0,9100,0.36530012,0.74560547,1.00000000,0.49121094,0.00003216,0.73056811
0,9200,0.36584452,0.74609375,1.00000000,0.49218750,0.00003181,0.73165721
0,9300,0.36606607,0.74658203,1.00000000,0.49316406,0.00003151,0.73210061
0,9400,0.36377686,0.75390625,1.00000000,0.50781250,0.00003127,0.72752243
0,9500,0.35649073,0.76855469,1.00000000,0.53710938,0.00003097,0.71295053
0,9600,0.34569460,0.79150391,1.00000000,0.58300781,0.00003154,0.69135773
0,9700,0.33364296,0.80908203,1.00000000,0.61816406,0.00003402,0.66725183
0,9800,0.31480449,0.83593750,1.00000000,0.67187500,0.00004424,0.62956476
0,9900,0.27160066,0.87255859,1.00000000,0.74511719,0.00005857,0.54314274
0,10000,0.14984187,0.95556641,1.00000000,0.91113281,0.00008913,0.29959464
0,10100,0.04429998,0.99804688,1.00000000,0.99609375,0.00010430,0.08849565
0,10200,0.01746422,0.99902344,1.00000000,0.99804688,0.00006475,0.03486370
0,10300,0.00961027,0.99951172,1.00000000,0.99902344,0.00004727,0.01917326
0,10400,0.00632861,0.99951172,1.00000000,0.99902344,0.00003837,0.01261885
0,10500,0.00461543,1.00000000,1.00000000,1.00000000,0.00003302,0.00919783
0,10600,0.00361957,1.00000000,1.00000000,1.00000000,0.00002938,0.00720976
0,10700,0.00293414,1.00000000,1.00000000,1.00000000,0.00002689,0.00584139
0,10800,0.00248018,1.00000000,1.00000000,1.00000000,0.00002500,0.00493537
0,10900,0.00214198,1.00000000,1.00000000,1.00000000,0.00002356,0.00426040
0,11000,0.00187108,1.00000000,1.00000000,1.00000000,0.00002243,0.00371974
0,11100,0.00165338,1.00000000,1.00000000,1.00000000,0.00002151,0.00328525
0,11200,0.00148848,1.00000000,1.00000000,1.00000000,0.00002074,0.00295622
0,11300,0.00134717,1.00000000,1.00000000,1.00000000,0.00002009,0.00267426
0,11400,0.00122993,1.00000000,1.00000000,1.00000000,0.00001950,0.00244035
0,11500,0.00113192,1.00000000,1.00000000,1.00000000,0.00001899,0.00224486
0,11600,0.00104966,1.00000000,1.00000000,1.00000000,0.00001851,0.00208080
0,11700,0.00097783,1.00000000,1.00000000,1.00000000,0.00001808,0.00193758
1,0,0.69959801,0.50048828,0.50097656,0.50000000,0.70055640,0.69863975
1,100,0.62194717,0.74218750,0.99316406,0.49121094,0.55002075,0.69387352
1,200,0.35802537,0.75048828,1.00000000,0.50097656,0.02269888,0.69335186
1,300,0.34912071,0.75000000,1.00000000,0.50000000,0.00537088,0.69287050
1,400,0.34768254,0.75390625,1.00000000,0.50781250,0.00265079,0.69271421
1,500,0.34714580,0.75781250,1.00000000,0.51562500,0.00166973,0.69262183
1,600,0.34689745,0.75439453,1.00000000,0.50878906,0.00118796,0.69260699
1,700,0.34674561,0.75146484,1.00000000,0.50292969,0.00090843,0.69258285
1,800,0.34665281,0.75292969,1.00000000,0.50585938,0.00072671,0.69257903
1,900,0.34658527,0.75195312,1.00000000,0.50390625,0.00060175,0.69256878
1,1000,0.34653425,0.75244141,1.00000000,0.50488281,0.00051087,0.69255763
1,1100,0.34648943,0.75732422,1.00000000,0.51464844,0.00044244,0.69253647
1,1200,0.34646130,0.75732422,1.00000000,0.51464844,0.00038912,0.69253349
1,1300,0.34643024,0.75732422,1.00000000,0.51464844,0.00034651,0.69251400
1,1400,0.34640431,0.75878906,1.00000000,0.51757812,0.00031166,0.69249690
1,1500,0.34639329,0.76123047,1.00000000,0.52246094,0.00028263,0.69250393
1,1600,0.34638572,0.75585938,1.00000000,0.51171875,0.00025839,0.69251299
1,1700,0.34636456,0.75488281,1.00000000,0.50976562,0.00023755,0.69249153
1,1800,0.34635890,0.75341797,1.00000000,0.50683594,0.00021964,0.69249809
1,1900,0.34635413,0.75488281,1.00000000,0.50976562,0.00020406,0.69250417
1,2000,0.34633487,0.75585938,1.00000000,0.51171875,0.00019065,0.69247901
1,2100,0.34633362,0.75634766,1.00000000,0.51269531,0.00017882,0.69248843
1,2200,0.34633106,0.75537109,1.00000000,0.51074219,0.00016834,0.69249380
1,2300,0.34632391,0.75488281,1.00000000,0.50976562,0.00015893,0.69248891
1,2400,0.34633261,0.75537109,1.00000000,0.51074219,0.00015041,0.69251478
1,2500,0.34632584,0.75439453,1.00000000,0.50878906,0.00014280,0.69250888
1,2600,0.34632313,0.75634766,1.00000000,0.51269531,0.00013581,0.69251037
1,2700,0.34634009,0.75537109,1.00000000,0.51074219,0.00012940,0.69255078
1,2800,0.34634876,0.75781250,1.00000000,0.51562500,0.00012372,0.69257379
1,2900,0.34635442,0.75830078,1.00000000,0.51660156,0.00011849,0.69259036
1,3000,0.34636194,0.75878906,1.00000000,0.51757812,0.00011364,0.69261026
1,3100,0.34638774,0.75927734,1.00000000,0.51855469,0.00010911,0.69266635
1,3200,0.34640554,0.75927734,1.00000000,0.51855469,0.00010501,0.69270611
1,3300,0.34643304,0.76074219,1.00000000,0.52148438,0.00010129,0.69276482
1,3400,0.34645107,0.75927734,1.00000000,0.51855469,0.00009785,0.69280434
1,3500,0.34647912,0.75878906,1.00000000,0.51757812,0.00009465,0.69286352
1,3600,0.34650463,0.75830078,1.00000000,0.51660156,0.00009162,0.69291759
1,3700,0.34653816,0.75878906,1.00000000,0.51757812,0.00008874,0.69298756
1,3800,0.34656835,0.75732422,1.00000000,0.51464844,0.00008598,0.69305074
1,3900,0.34660721,0.75537109,1.00000000,0.51074219,0.00008342,0.69313091
1,4000,0.34664285,0.75683594,1.00000000,0.51367188,0.00008098,0.69320470
1,4100,0.34667283,0.75683594,1.00000000,0.51367188,0.00007859,0.69326711
1,4200,0.34669793,0.75878906,1.00000000,0.51757812,0.00007638,0.69331944
1,4300,0.34672993,0.75830078,1.00000000,0.51660156,0.00007423,0.69338572
1,4400,0.34676543,0.75976562,1.00000000,0.51953125,0.00007223,0.69345862
1,4500,0.34678990,0.75927734,1.00000000,0.51855469,0.00007035,0.69350934
1,4600,0.34681582,0.76074219,1.00000000,0.52148438,0.00006857,0.69356304
1,4700,0.34684855,0.75830078,1.00000000,0.51660156,0.00006689,0.69363016
1,4800,0.34687608,0.75878906,1.00000000,0.51757812,0.00006535,0.69368678
1,4900,0.34689233,0.75830078,1.00000000,0.51660156,0.00006393,0.69372070
1,5000,0.34693462,0.75781250,1.00000000,0.51562500,0.00006246,0.69380671
1,5100,0.34697479,0.75732422,1.00000000,0.51464844,0.00006105,0.69388849
1,5200,0.34700933,0.75781250,1.00000000,0.51562500,0.00005968,0.69395906
1,5300,0.34704143,0.75439453,1.00000000,0.50878906,0.00005847,0.69402444
1,5400,0.34708059,0.75683594,1.00000000,0.51367188,0.00005723,0.69410396
1,5500,0.34712088,0.75341797,1.00000000,0.50683594,0.00005599,0.69418573
1,5600,0.34716183,0.75341797,1.00000000,0.50683594,0.00005474,0.69426888
1,5700,0.34722346,0.75390625,1.00000000,0.50781250,0.00005352,0.69439334
1,5800,0.34725431,0.75195312,1.00000000,0.50390625,0.00005238,0.69445628
1,5900,0.34730080,0.75244141,1.00000000,0.50488281,0.00005125,0.69455040
1,6000,0.34735823,0.75292969,1.00000000,0.50585938,0.00005013,0.69466627
1,6100,0.34739757,0.75292969,1.00000000,0.50585938,0.00004903,0.69474614
1,6200,0.34745491,0.75048828,1.00000000,0.50097656,0.00004796,0.69486189
1,6300,0.34750646,0.75292969,1.00000000,0.50585938,0.00004694,0.69496602
1,6400,0.34757477,0.75341797,1.00000000,0.50683594,0.00004592,0.69510365
1,6500,0.34762472,0.75195312,1.00000000,0.50390625,0.00004495,0.69520450
1,6600,0.34770155,0.75195312,1.00000000,0.50390625,0.00004404,0.69535905
1,6700,0.34777102,0.75146484,1.00000000,0.50292969,0.00004319,0.69549882
1,6800,0.34786889,0.74951172,1.00000000,0.49902344,0.00004233,0.69569546
1,6900,0.34796336,0.75097656,1.00000000,0.50195312,0.00004149,0.69588524
1,7000,0.34806490,0.75000000,1.00000000,0.50000000,0.00004071,0.69608909
1,7100,0.34820276,0.74658203,1.00000000,0.49316406,0.00003995,0.69636554
1,7200,0.34830427,0.74951172,1.00000000,0.49902344,0.00003921,0.69656938
1,7300,0.34843612,0.74902344,1.00000000,0.49804688,0.00003848,0.69683367
1,7400,0.34856391,0.74804688,1.00000000,0.49609375,0.00003774,0.69709003
1,7500,0.34872103,0.74658203,1.00000000,0.49316406,0.00003704,0.69740498
1,7600,0.34890139,0.74755859,1.00000000,0.49511719,0.00003628,0.69776648
1,7700,0.34906292,0.74560547,1.00000000,0.49121094,0.00003556,0.69809020
1,7800,0.34926626,0.74462891,1.00000000,0.48925781,0.00003485,0.69849765
1,7900,0.34949484,0.74365234,1.00000000,0.48730469,0.00003416,0.69895554
1,8000,0.34972906,0.74511719,1.00000000,0.49023438,0.00003351,0.69942456
1,8100,0.34999168,0.74658203,1.00000000,0.49316406,0.00003287,0.69995052
1,8200,0.35026395,0.74658203,1.00000000,0.49316406,0.00003228,0.70049566
1,8300,0.35053152,0.74414062,1.00000000,0.48828125,0.00003168,0.70103133
1,8400,0.35083029,0.74511719,1.00000000,0.49023438,0.00003115,0.70162946
1,8500,0.35118705,0.74462891,1.00000000,0.48925781,0.00003063,0.70234346
1,8600,0.35151541,0.74658203,1.00000000,0.49316406,0.00003020,0.70300066
1,8700,0.35188913,0.74658203,1.00000000,0.49316406,0.00002974,0.70374852
1,8800,0.35225290,0.74755859,1.00000000,0.49511719,0.00002928,0.70447648
1,8900,0.35270542,0.74609375,1.00000000,0.49218750,0.00002888,0.70538187
1,9000,0.35310355,0.74853516,1.00000000,0.49707031,0.00002843,0.70617861
1,9100,0.35359150,0.74853516,1.00000000,0.49707031,0.00002804,0.70715499
1,9200,0.35407454,0.74902344,1.00000000,0.49804688,0.00002766,0.70812142
1,9300,0.35471505,0.75048828,1.00000000,0.50097656,0.00002724,0.70940292
1,9400,0.35526878,0.74902344,1.00000000,0.49804688,0.00002674,0.71051085
1,9500,0.35580024,0.74951172,1.00000000,0.49902344,0.00002628,0.71157420
1,9600,0.35652491,0.75146484,1.00000000,0.50292969,0.00002587,0.71302396
1,9700,0.35707387,0.74951172,1.00000000,0.49902344,0.00002549,0.71412224
1,9800,0.35774210,0.75048828,1.00000000,0.50097656,0.00002511,0.71545911
1,9900,0.35851261,0.75000000,1.00000000,0.50000000,0.00002465,0.71700054
1,10000,0.35932583,0.74804688,1.00000000,0.49609375,0.00002411,0.71862757
1,10100,0.36005798,0.74951172,1.00000000,0.49902344,0.00002358,0.72009242
1,10200,0.36089694,0.74755859,1.00000000,0.49511719,0.00002303,0.72177082
1,10300,0.36196733,0.74755859,1.00000000,0.49511719,0.00002249,0.72391218
1,10400,0.36298448,0.74707031,1.00000000,0.49414062,0.00002183,0.72594714
1,10500,0.36394775,0.74609375,1.00000000,0.49218750,0.00002123,0.72787428
1,10600,0.36512008,0.74755859,1.00000000,0.49511719,0.00002072,0.73021942
1,10700,0.36605394,0.74755859,1.00000000,0.49511719,0.00002022,0.73208767
1,10800,0.36737257,0.74804688,1.00000000,0.49609375,0.00001973,0.73472542
1,10900,0.36855626,0.74951172,1.00000000,0.49902344,0.00001920,0.73709327
1,11000,0.37001711,0.75195312,1.00000000,0.50390625,0.00001863,0.74001563
1,11100,0.37135518,0.74755859,1.00000000,0.49511719,0.00001809,0.74269235
1,11200,0.37280399,0.74853516,1.00000000,0.49707031,0.00001760,0.74559033
1,11300,0.37440696,0.74755859,1.00000000,0.49511719,0.00001716,0.74879682
1,11400,0.37611723,0.74707031,1.00000000,0.49414062,0.00001664,0.75221789
1,11500,0.37826020,0.74804688,1.00000000,0.49609375,0.00001611,0.75650424
1,11600,0.38039440,0.75000000,1.00000000,0.50000000,0.00001557,0.76077330
1,11700,0.38203013,0.74951172,1.00000000,0.49902344,0.00001498,0.76404530
1,11800,0.38456345,0.74853516,1.00000000,0.49707031,0.00001439,0.76911247
1,11900,0.38647476,0.74511719,1.00000000,0.49023438,0.00001383,0.77293575
1,12000,0.38922524,0.74853516,1.00000000,0.49707031,0.00001325,0.77843726
1,12100,0.39184099,0.75048828,1.00000000,0.50097656,0.00001280,0.78366917
1,12200,0.39479324,0.75146484,1.00000000,0.50292969,0.00001233,0.78957409
1,12300,0.39859927,0.75146484,1.00000000,0.50292969,0.00001190,0.79718649
1,12400,0.39972931,0.75146484,1.00000000,0.50292969,0.00001147,0.79944706
1,12500,0.40128899,0.75244141,1.00000000,0.50488281,0.00001118,0.80256689
1,12600,0.39803267,0.75781250,1.00000000,0.51562500,0.00001102,0.79605436
1,12700,0.39230087,0.77441406,1.00000000,0.54882812,0.00001119,0.78459048
1,12800,0.38736087,0.78417969,1.00000000,0.56835938,0.00001165,0.77471006
1,12900,0.37859479,0.78759766,1.00000000,0.57519531,0.00001226,0.75717723
1,13000,0.36039180,0.80419922,1.00000000,0.60839844,0.00001334,0.72077030
1,13100,0.30881068,0.84423828,1.00000000,0.68847656,0.00001517,0.61760622
1,13200,0.25781009,0.87939453,1.00000000,0.75878906,0.00001768,0.51560253
1,13300,0.19825786,0.91113281,1.00000000,0.82226562,0.00002397,0.39649177
1,13400,0.11335681,0.95019531,1.00000000,0.90039062,0.00003107,0.22668254
1,13500,0.06737418,0.97412109,1.00000000,0.94824219,0.00003514,0.13471323
1,13600,0.04434895,0.98583984,1.00000000,0.97167969,0.00003881,0.08865910
1,13700,0.03216547,0.99023438,1.00000000,0.98046875,0.00004061,0.06429033
1,13800,0.02490166,0.99267578,1.00000000,0.98535156,0.00004236,0.04976096
1,13900,0.02025702,0.99316406,1.00000000,0.98632812,0.00004261,0.04047143
1,14000,0.01703582,0.99365234,1.00000000,0.98730469,0.00004201,0.03402963
1,14100,0.01474817,0.99560547,1.00000000,0.99121094,0.00004101,0.02945533
1,14200,0.01284527,0.99658203,1.00000000,0.99316406,0.00004015,0.02565040
1,14300,0.01139259,0.99804688,1.00000000,0.99609375,0.00003928,0.02274590
1,14400,0.01022429,0.99804688,1.00000000,0.99609375,0.00003837,0.02041020
1,14500,0.00927923,0.99853516,1.00000000,0.99707031,0.00003743,0.01852102
1,14600,0.00851577,0.99902344,1.00000000,0.99804688,0.00003646,0.01699508
1,14700,0.00784310,0.99902344,1.00000000,0.99804688,0.00003560,0.01565060
1,14800,0.00724742,0.99902344,1.00000000,0.99804688,0.00003483,0.01446000
1,14900,0.00676607,0.99902344,1.00000000,0.99804688,0.00003405,0.01349808
1,15000,0.00633576,0.99902344,1.00000000,0.99804688,0.00003329,0.01263822
1,15100,0.00595050,0.99902344,1.00000000,0.99804688,0.00003255,0.01186846
1,15200,0.00561449,0.99902344,1.00000000,0.99804688,0.00003188,0.01119709
1,15300,0.00528757,0.99902344,1.00000000,0.99804688,0.00003128,0.01054387
1,15400,0.00503012,0.99902344,1.00000000,0.99804688,0.00003064,0.01002960
1,15500,0.00477555,0.99951172,1.00000000,0.99902344,0.00003006,0.00952105
1,15600,0.00455207,0.99951172,1.00000000,0.99902344,0.00002947,0.00907467
1,15700,0.00435730,0.99951172,1.00000000,0.99902344,0.00002891,0.00868568
1,15800,0.00417734,0.99951172,1.00000000,0.99902344,0.00002834,0.00832633
1,15900,0.00400586,0.99951172,1.00000000,0.99902344,0.00002780,0.00798392
1,16000,0.00384644,0.99951172,1.00000000,0.99902344,0.00002728,0.00766561
1,16100,0.00369966,0.99951172,1.00000000,0.99902344,0.00002676,0.00737256
1,16200,0.00356529,0.99951172,1.00000000,0.99902344,0.00002626,0.00710432
1,16300,0.00343856,0.99951172,1.00000000,0.99902344,0.00002578,0.00685134
1,16400,0.00331947,0.99951172,1.00000000,0.99902344,0.00002531,0.00661364
1,16500,0.00321194,0.99951172,1.00000000,0.99902344,0.00002486,0.00639901
1,16600,0.00310632,0.99951172,1.00000000,0.99902344,0.00002444,0.00618821
1,16700,0.00301742,0.99951172,1.00000000,0.99902344,0.00002400,0.00601084
1,16800,0.00292397,0.99951172,1.00000000,0.99902344,0.00002360,0.00582434
1,16900,0.00283661,0.99951172,1.00000000,0.99902344,0.00002321,0.00565000
1,17000,0.00275930,0.99951172,1.00000000,0.99902344,0.00002283,0.00549577
1,17100,0.00268355,0.99951172,1.00000000,0.99902344,0.00002246,0.00534464
1,17200,0.00260982,0.99951172,1.00000000,0.99902344,0.00002210,0.00519754
1,17300,0.00254334,0.99951172,1.00000000,0.99902344,0.00002176,0.00506492
1,17400,0.00247709,0.99951172,1.00000000,0.99902344,0.00002143,0.00493275
1,17500,0.00242087,0.99951172,1.00000000,0.99902344,0.00002111,0.00482064
1,17600,0.00236336,0.99951172,1.00000000,0.99902344,0.00002079,0.00470594
1,17700,0.00230631,0.99951172,1.00000000,0.99902344,0.00002049,0.00459212
1,17800,0.00225020,0.99951172,1.00000000,0.99902344,0.00002018,0.00448022
1,17900,0.00220049,0.99951172,1.00000000,0.99902344,0.00001989,0.00438110
1,18000,0.00215205,0.99951172,1.00000000,0.99902344,0.00001961,0.00428449
1,18100,0.00210615,0.99951172,1.00000000,0.99902344,0.00001934,0.00419297
1,18200,0.00206006,0.99951172,1.00000000,0.99902344,0.00001907,0.00410104
1,18300,0.00202029,0.99951172,1.00000000,0.99902344,0.00001882,0.00402176
1,18400,0.00198155,0.99951172,1.00000000,0.99902344,0.00001856,0.00394453
1,18500,0.00193940,0.99951172,1.00000000,0.99902344,0.00001832,0.00386049
1,18600,0.00189990,0.99951172,1.00000000,0.99902344,0.00001809,0.00378172
1,18700,0.00186241,0.99951172,1.00000000,0.99902344,0.00001785,0.00370696
1,18800,0.00183222,0.99951172,1.00000000,0.99902344,0.00001762,0.00364681
1,18900,0.00179689,0.99951172,1.00000000,0.99902344,0.00001740,0.00357638
1,19000,0.00176542,0.99951172,1.00000000,0.99902344,0.00001719,0.00351366
1,19100,0.00173483,0.99951172,1.00000000,0.99902344,0.00001698,0.00345267
1,19200,0.00170465,0.99951172,1.00000000,0.99902344,0.00001677,0.00339252
1,19300,0.00167850,0.99951172,1.00000000,0.99902344,0.00001657,0.00334043
1,19400,0.00164999,0.99951172,1.00000000,0.99902344,0.00001638,0.00328360
1,19500,0.00162529,0.99951172,1.00000000,0.99902344,0.00001619,0.00323439
1,19600,0.00159708,0.99951172,1.00000000,0.99902344,0.00001601,0.00317816
1,19700,0.00157325,0.99951172,1.00000000,0.99902344,0.00001583,0.00313067
1,19800,0.00154766,0.99951172,1.00000000,0.99902344,0.00001565,0.00307968
1,19900,0.00152462,0.99951172,1.00000000,0.99902344,0.00001547,0.00303378
1,20000,0.00150062,0.99951172,1.00000000,0.99902344,0.00001530,0.00298593
1,20100,0.00147827,0.99951172,1.00000000,0.99902344,0.00001515,0.00294140
1,20200,0.00145610,0.99951172,1.00000000,0.99902344,0.00001497,0.00289724
1,20300,0.00143572,0.99951172,1.00000000,0.99902344,0.00001482,0.00285663
1,20400,0.00141507,0.99951172,1.00000000,0.99902344,0.00001467,0.00281547
1,20500,0.00139690,0.99951172,1.00000000,0.99902344,0.00001452,0.00277928
1,20600,0.00137522,1.00000000,1.00000000,1.00000000,0.00001437,0.00273607
1,20700,0.00135835,1.00000000,1.00000000,1.00000000,0.00001422,0.00270247
1,20800,0.00134164,1.00000000,1.00000000,1.00000000,0.00001408,0.00266921
1,20900,0.00132366,1.00000000,1.00000000,1.00000000,0.00001394,0.00263339
1,21000,0.00130681,1.00000000,1.00000000,1.00000000,0.00001380,0.00259982
1,21100,0.00129002,1.00000000,1.00000000,1.00000000,0.00001367,0.00256637
1,21200,0.00127324,1.00000000,1.00000000,1.00000000,0.00001354,0.00253295
1,21300,0.00125802,1.00000000,1.00000000,1.00000000,0.00001341,0.00250263
1,21400,0.00124263,1.00000000,1.00000000,1.00000000,0.00001328,0.00247198
1,21500,0.00122800,1.00000000,1.00000000,1.00000000,0.00001315,0.00244284
1,21600,0.00121372,1.00000000,1.00000000,1.00000000,0.00001303,0.00241441
1,21700,0.00119933,1.00000000,1.00000000,1.00000000,0.00001292,0.00238573
1,21800,0.00118605,1.00000000,1.00000000,1.00000000,0.00001280,0.00235930
1,21900,0.00117286,1.00000000,1.00000000,1.00000000,0.00001269,0.00233303
1,22000,0.00115848,1.00000000,1.00000000,1.00000000,0.00001258,0.00230438
1,22100,0.00114547,1.00000000,1.00000000,1.00000000,0.00001248,0.00227846
