seed,epoch,test-loss,total-acc,test-acc_feature0,test-acc_feature1,test-loss_feature0,test-loss_feature1
0,0,0.69285154,0.53369141,0.56738281,0.50000000,0.68952751,0.69617546
0,100,0.36043561,0.75000000,1.00000000,0.50000000,0.00964046,0.71123075
0,200,0.35972935,0.75000000,1.00000000,0.50000000,0.00212017,0.71733850
0,300,0.36060572,0.75000000,1.00000000,0.50000000,0.00106272,0.72014874
0,400,0.36133182,0.75000000,1.00000000,0.50000000,0.00068079,0.72198278
0,500,0.34761143,0.75097656,1.00000000,0.50195312,0.00071237,0.69451046
0,600,0.34758562,0.74462891,1.00000000,0.48925781,0.00071790,0.69445336
0,700,0.34759393,0.74560547,1.00000000,0.49121094,0.00072327,0.69446456
0,800,0.34760749,0.75244141,1.00000000,0.50488281,0.00072721,0.69448781
0,900,0.34766042,0.75146484,1.00000000,0.50292969,0.00073003,0.69459087
0,1000,0.34767026,0.74755859,1.00000000,0.49511719,0.00073145,0.69460899
0,1100,0.34768212,0.74560547,1.00000000,0.49121094,0.00073135,0.69463289
0,1200,0.34769934,0.74755859,1.00000000,0.49511719,0.00073177,0.69466692
0,1300,0.34772676,0.74707031,1.00000000,0.49414062,0.00073398,0.69471955
0,1400,0.34775373,0.74951172,1.00000000,0.49902344,0.00073596,0.69477153
0,1500,0.34779301,0.75097656,1.00000000,0.50195312,0.00073851,0.69484752
0,1600,0.34783438,0.74951172,1.00000000,0.49902344,0.00073837,0.69493037
0,1700,0.34787357,0.75000000,1.00000000,0.50000000,0.00073663,0.69501042
0,1800,0.34791857,0.74951172,1.00000000,0.49902344,0.00073517,0.69510204
0,1900,0.34795436,0.74609375,1.00000000,0.49218750,0.00073349,0.69517529
0,2000,0.34801352,0.74853516,1.00000000,0.49707031,0.00073153,0.69529551
0,2100,0.34807062,0.74951172,1.00000000,0.49902344,0.00072939,0.69541192
0,2200,0.34814256,0.74804688,1.00000000,0.49609375,0.00072778,0.69555736
0,2300,0.34824258,0.74902344,1.00000000,0.49804688,0.00072732,0.69575781
0,2400,0.34833485,0.74658203,1.00000000,0.49316406,0.00072750,0.69594216
0,2500,0.34846222,0.74707031,1.00000000,0.49414062,0.00072797,0.69619650
0,2600,0.34860894,0.74560547,1.00000000,0.49121094,0.00072944,0.69648844
0,2700,0.34872347,0.74804688,1.00000000,0.49609375,0.00072871,0.69671822
0,2800,0.34884220,0.74414062,1.00000000,0.48828125,0.00072905,0.69695532
0,2900,0.34894028,0.74755859,1.00000000,0.49511719,0.00072962,0.69715095
0,3000,0.34909862,0.74755859,1.00000000,0.49511719,0.00073029,0.69746697
0,3100,0.34928098,0.74755859,1.00000000,0.49511719,0.00073199,0.69783002
0,3200,0.34943432,0.75000000,1.00000000,0.50000000,0.00073311,0.69813550
0,3300,0.34961659,0.74853516,1.00000000,0.49707031,0.00073474,0.69849843
