seed,epoch,test-loss,total-acc,test-acc_feature0-linear,test-acc_feature1-xor_xor_xor,test-loss_feature0-linear,test-loss_feature1-xor_xor_xor
0,0,0.69285154,0.53369141,0.56738281,0.50000000,0.68952751,0.69617546
0,100,0.36043561,0.75000000,1.00000000,0.50000000,0.00964046,0.71123075
0,200,0.35972935,0.75000000,1.00000000,0.50000000,0.00212017,0.71733850
0,300,0.34835160,0.74853516,1.00000000,0.49707031,0.00219712,0.69450605
0,400,0.34834975,0.74804688,1.00000000,0.49609375,0.00221575,0.69448376
0,500,0.34836674,0.74902344,1.00000000,0.49804688,0.00223063,0.69450277
0,600,0.34838980,0.75097656,1.00000000,0.50195312,0.00224657,0.69453305
0,700,0.34841192,0.74707031,1.00000000,0.49414062,0.00225794,0.69456589
0,800,0.34841156,0.74804688,1.00000000,0.49609375,0.00226126,0.69456178
0,900,0.34842747,0.74609375,1.00000000,0.49218750,0.00225708,0.69459784
0,1000,0.34844473,0.74755859,1.00000000,0.49511719,0.00225273,0.69463670
0,1100,0.34845895,0.75048828,1.00000000,0.50097656,0.00224874,0.69466907
0,1200,0.34848717,0.75146484,1.00000000,0.50292969,0.00224457,0.69472975
0,1300,0.34851629,0.75048828,1.00000000,0.50097656,0.00224028,0.69479233
0,1400,0.34854448,0.75195312,1.00000000,0.50390625,0.00223450,0.69485450
0,1500,0.34859580,0.75244141,1.00000000,0.50488281,0.00223263,0.69495904
0,1600,0.34864008,0.75244141,1.00000000,0.50488281,0.00222912,0.69505107
0,1700,0.34869272,0.75341797,1.00000000,0.50683594,0.00222458,0.69516087
0,1800,0.34874547,0.75146484,1.00000000,0.50292969,0.00222175,0.69526923
0,1900,0.34878591,0.74902344,1.00000000,0.49804688,0.00222170,0.69535017
0,2000,0.34882915,0.74951172,1.00000000,0.49902344,0.00222005,0.69543815
0,2100,0.34888196,0.74902344,1.00000000,0.49804688,0.00221616,0.69554770
0,2200,0.34894288,0.75146484,1.00000000,0.50292969,0.00220988,0.69567591
0,2300,0.34903869,0.75097656,1.00000000,0.50195312,0.00220524,0.69587207
0,2400,0.34913138,0.75146484,1.00000000,0.50292969,0.00219832,0.69606441
0,2500,0.34924373,0.75048828,1.00000000,0.50097656,0.00219631,0.69629121
0,2600,0.34935158,0.75097656,1.00000000,0.50195312,0.00219616,0.69650698
0,2700,0.34948587,0.75048828,1.00000000,0.50097656,0.00219658,0.69677514
0,2800,0.34964710,0.74951172,1.00000000,0.49902344,0.00219931,0.69709492
0,2900,0.34978312,0.75341797,1.00000000,0.50683594,0.00219938,0.69736695
0,3000,0.34997272,0.75292969,1.00000000,0.50585938,0.00219878,0.69774657
0,3100,0.35022414,0.75097656,1.00000000,0.50195312,0.00219944,0.69824886
0,3200,0.35048136,0.75097656,1.00000000,0.50195312,0.00219716,0.69876552
