seed,total-variance,feature1-xor_xor_xor
0,0.12061510,-0.00363041
0,0.11448560,-0.00335051
0,0.11277782,-0.00320395
0,0.11206358,-0.00315833
0,0.11162991,-0.00314361
0,0.11145614,-0.00314316
0,0.11161467,-0.00312794
0,0.11200790,-0.00309897
0,0.11272275,-0.00307140
0,0.11361384,-0.00304116
0,0.11473389,-0.00302715
0,0.11607011,-0.00300636
0,0.11751416,-0.00298570
0,0.11905978,-0.00296716
0,0.12069702,-0.00294729
0,0.12256181,-0.00293567
0,0.12448639,-0.00292265
0,0.12643379,-0.00290686
0,0.12849560,-0.00289325
0,0.13064286,-0.00287124
0,0.13286200,-0.00286298
0,0.13526344,-0.00288419
0,0.13787970,-0.00291930
0,0.14061552,-0.00298121
0,0.14347079,-0.00302877
0,0.14686170,-0.00303714
0,0.15049168,-0.00306861
0,0.15455228,-0.00312827
0,0.15895197,-0.00324128
0,0.16291983,-0.00334233
0,0.16784804,-0.00344839
0,0.17323071,-0.00355647
0,0.17794023,-0.00364741
0,0.18246239,-0.00372638
0,0.18725976,-0.00378784
0,0.19254218,-0.00381713
0,0.19817409,-0.00381846
0,0.20377111,-0.00382280
0,0.21076877,-0.00381581
0,0.21863514,-0.00379673
0,0.22670990,-0.00375996
0,0.23521051,-0.00374040
0,0.24378532,-0.00371424
0,0.25244725,-0.00369758
0,0.26140764,-0.00368568
0,0.27115959,-0.00369703
0,0.28099450,-0.00367525
0,0.29071084,-0.00367049
0,0.30090246,-0.00369627
0,0.31254116,-0.00378936
0,0.33510733,-0.00373882
0,0.39964539,0.00135777
0,0.48310617,0.01769298
0,0.78800172,0.09612771
0,2.87485552,0.23605682
0,5.04078913,0.27707876
0,6.32564306,0.29341208
0,7.20691395,0.30287774
0,7.87518549,0.30922835
0,8.41317940,0.31387401
0,8.86637497,0.31757258
0,9.25387955,0.32055807
0,9.59378433,0.32309011
0,9.89689827,0.32521211
0,10.17027187,0.32713635
0,10.41858196,0.32879538
0,10.64612961,0.33029727
0,10.85675621,0.33161828
0,11.05320072,0.33286242
0,11.23575306,0.33399484
0,11.40745831,0.33503452
0,11.56995487,0.33601806
0,11.72270203,0.33692288
0,11.86792946,0.33776515
0,12.00555897,0.33856749
0,12.13702774,0.33931455
0,12.26209736,0.34002148
0,12.38180351,0.34068831
0,12.49712753,0.34132504
0,12.60755634,0.34192427
0,12.71411324,0.34249930
0,12.81650257,0.34304117
0,12.91553688,0.34356694
0,13.01140213,0.34406685
0,13.10380459,0.34454141
0,13.19379520,0.34500228
0,13.28050137,0.34544407
0,13.36478519,0.34586807
0,13.44653988,0.34627379
0,13.52606678,0.34666951
0,13.60345745,0.34705113
0,13.67881584,0.34741795
0,13.75226212,0.34777485
