seed,total-variance,feature0-linear,feature1-xor_xor_xor
0,0.12106884,0.01853516,-0.00357791
0,10.63630295,0.65964047,-0.00100082
0,16.52020264,0.69437320,-0.00087858
0,19.51764488,0.70598679,-0.00085691
0,21.55168533,0.71258240,-0.00085127
0,22.13546371,0.71899800,-0.00094477
0,22.82433701,0.72226425,-0.00091595
0,23.46251297,0.72529866,-0.00087815
0,24.04493332,0.72789646,-0.00083914
0,24.57922363,0.72977158,-0.00081557
0,25.07868576,0.73179700,-0.00079651
0,25.54851151,0.73310770,-0.00078430
0,25.99034119,0.73417849,-0.00077406
0,26.40291214,0.73486446,-0.00076247
0,26.79589462,0.73549270,-0.00075350
0,27.17254829,0.73623689,-0.00074594
0,27.52911758,0.73692720,-0.00074085
0,27.86986923,0.73753617,-0.00073744
0,28.19149399,0.73801938,-0.00073669
0,28.50128937,0.73816242,-0.00073511
0,28.79788589,0.73837250,-0.00073214
0,29.08086014,0.73840191,-0.00073307
0,29.34822083,0.73832320,-0.00073223
0,29.60896111,0.73830867,-0.00073564
0,29.86033630,0.73850306,-0.00073553
0,30.10353851,0.73871138,-0.00073693
0,30.34104538,0.73877822,-0.00073841
0,30.57928085,0.73890531,-0.00073615
0,30.81098747,0.73883360,-0.00073410
0,31.03572845,0.73866104,-0.00073057
0,31.25721931,0.73841137,-0.00072571
0,31.47136688,0.73810602,-0.00071977
0,31.68285942,0.73788373,-0.00071158
0,31.89172363,0.73770030,-0.00070829
0,32.10235596,0.73750935,-0.00070627
0,32.30757523,0.73749070,-0.00070106
0,32.50635529,0.73746267,-0.00069743
0,32.70358276,0.73740684,-0.00069263
0,32.89753723,0.73738095,-0.00068616
0,33.08829498,0.73741391,-0.00067807
0,33.27372360,0.73741262,-0.00066862
0,33.45678329,0.73722343,-0.00066149
0,33.64194870,0.73690209,-0.00065529
0,33.82579422,0.73654040,-0.00065147
0,34.00613403,0.73603446,-0.00065166
0,34.18178177,0.73596376,-0.00064835
0,34.36640549,0.73577254,-0.00064035
0,34.54555130,0.73521493,-0.00063674
0,34.71514893,0.73496218,-0.00063622
0,34.88418579,0.73461846,-0.00063961
0,35.05139542,0.73413115,-0.00064338
0,35.21999741,0.73360985,-0.00064675
0,35.38555908,0.73311223,-0.00065149
0,35.54399872,0.73291343,-0.00065412
0,35.70261383,0.73264385,-0.00066053
0,35.87003326,0.73317622,-0.00066081
0,36.03885269,0.73562029,-0.00066297
0,36.21587372,0.73686996,-0.00067289
0,36.38640976,0.73697013,-0.00067608
0,36.55287170,0.73692958,-0.00068071
0,36.72361755,0.73672180,-0.00068364
0,36.88869476,0.73659911,-0.00068900
0,37.05536270,0.73633755,-0.00069197
0,37.22111511,0.73604857,-0.00069055
0,37.38581848,0.73585346,-0.00069160
0,37.54685211,0.73561892,-0.00069037
0,37.71018982,0.73528628,-0.00069132
0,37.87514877,0.73476796,-0.00069502
0,38.03575516,0.73421072,-0.00070117
0,38.19214249,0.73379293,-0.00070982
0,38.35620880,0.73354333,-0.00071607
0,38.51959229,0.73332364,-0.00071300
0,38.68381500,0.73314233,-0.00070919
0,38.84340668,0.73303259,-0.00070291
0,39.00942612,0.73285545,-0.00070225
0,39.17535019,0.73247838,-0.00070085
0,39.34140015,0.73194575,-0.00069700
0,39.50132370,0.73124940,-0.00068916
0,39.66474152,0.73051155,-0.00067230
0,39.83479309,0.72988010,-0.00065226
0,40.01782227,0.72922841,-0.00064538
0,40.19764709,0.72890133,-0.00062300
0,40.37464142,0.72818926,-0.00061997
0,40.54579926,0.72719155,-0.00062054
0,40.72359085,0.72659639,-0.00062789
0,40.89889526,0.72596986,-0.00063354
0,41.07689667,0.72522667,-0.00064450
0,41.25038147,0.72419425,-0.00066290
0,41.42218018,0.72331522,-0.00067942
0,41.58576202,0.72234134,-0.00069447
0,41.74342728,0.72134352,-0.00070717
0,41.89141083,0.72044349,-0.00072147
0,42.02959824,0.71950222,-0.00072346
0,42.18029022,0.71819373,-0.00073356
0,42.32806396,0.71698900,-0.00072086
0,42.49386597,0.71562866,-0.00072574
0,42.65967178,0.71477172,-0.00073089
0,42.83858490,0.71317448,-0.00071658
0,43.02554321,0.71085248,-0.00061956
0,43.12183762,0.70695183,-0.00026272
0,43.02066803,0.69973921,0.00071024
0,42.63286591,0.68914976,0.00250449
0,41.91749573,0.67097618,0.00606467
0,42.50486374,0.63693318,0.02085688
0,44.91766357,0.60374580,0.05919306
0,47.22805023,0.58267245,0.08583122
0,48.85444641,0.56986352,0.10075881
0,50.04555511,0.56145689,0.11052161
0,50.97954559,0.55554999,0.11738204
0,51.73882294,0.55102738,0.12254984
0,52.37738800,0.54742003,0.12669548
0,52.93135452,0.54445733,0.13014520
0,53.42193222,0.54200042,0.13308053
0,53.86006927,0.53984893,0.13561390
0,54.26008606,0.53797754,0.13782464
0,54.62536240,0.53631508,0.13977850
0,54.96235657,0.53483181,0.14152788
0,55.27651978,0.53350775,0.14311284
0,55.57069778,0.53231776,0.14455935
0,55.84830475,0.53123363,0.14588780
1,0.08838252,0.01817195,-0.00210407
1,8.12533379,0.68154147,-0.00395527
1,15.70810509,0.72011783,-0.00398542
1,19.10150909,0.73005837,-0.00396920
1,21.31940842,0.73532207,-0.00396035
1,21.11708069,0.73715577,-0.00374299
1,22.00294876,0.73910488,-0.00374733
1,22.76410103,0.74149639,-0.00374099
1,23.44334984,0.74417900,-0.00376695
1,24.05960846,0.74732724,-0.00381640
1,24.62257385,0.75222694,-0.00386073
1,25.14212418,0.75652551,-0.00381953
1,25.62745285,0.75867906,-0.00379561
1,26.08781433,0.75989839,-0.00377495
1,26.52206993,0.76123948,-0.00375512
1,26.93115234,0.76297505,-0.00373899
1,27.31299973,0.76448208,-0.00372194
1,27.67723083,0.76564721,-0.00370361
1,28.02235794,0.76622054,-0.00368696
1,28.34546280,0.76666377,-0.00367651
1,28.65664864,0.76691803,-0.00366324
1,28.95969391,0.76705878,-0.00365171
1,29.25207138,0.76722096,-0.00364390
1,29.53047562,0.76756041,-0.00364165
1,29.79852676,0.76810556,-0.00364920
1,30.06519318,0.76940069,-0.00366555
1,30.32678032,0.77085999,-0.00366261
1,30.57603073,0.77202941,-0.00365960
1,30.81632614,0.77281595,-0.00365315
1,31.04965210,0.77364102,-0.00364608
1,31.28052139,0.77435335,-0.00363918
1,31.50745201,0.77512683,-0.00363031
1,31.73119354,0.77562543,-0.00362089
1,31.94910431,0.77605167,-0.00361244
1,32.16463852,0.77644018,-0.00360390
1,32.37136459,0.77666522,-0.00359587
1,32.57378006,0.77694806,-0.00358876
1,32.77754593,0.77710958,-0.00358426
1,32.97745132,0.77720315,-0.00358172
1,33.16919708,0.77726254,-0.00358125
1,33.35855865,0.77728855,-0.00358210
1,33.54090118,0.77730127,-0.00358277
1,33.71868896,0.77733003,-0.00358397
1,33.89516449,0.77732262,-0.00358431
1,34.06875992,0.77737827,-0.00358621
1,34.24423981,0.77739335,-0.00358830
1,34.41903687,0.77737156,-0.00358956
1,34.59142303,0.77733762,-0.00358970
1,34.76118088,0.77733852,-0.00358937
1,34.92910385,0.77729790,-0.00358959
1,35.10146332,0.77732128,-0.00359073
1,35.25845718,0.77750642,-0.00359244
1,35.40967941,0.77766981,-0.00359262
1,35.56240082,0.77776944,-0.00359106
1,35.71589279,0.77795744,-0.00359032
1,35.87203979,0.77815665,-0.00359040
1,36.02533722,0.77841316,-0.00359132
1,36.17798615,0.77877239,-0.00359188
1,36.33625793,0.77899450,-0.00359327
1,36.48958206,0.77908097,-0.00359696
1,36.65116501,0.77919773,-0.00359824
1,36.81058121,0.77923314,-0.00359924
1,36.96715164,0.77923673,-0.00359985
1,37.11869431,0.77919620,-0.00360141
1,37.26831436,0.77920522,-0.00360125
1,37.42953110,0.77916810,-0.00360109
1,37.59030151,0.77917341,-0.00360298
1,37.75184631,0.77919053,-0.00360552
1,37.91117859,0.77918533,-0.00360866
1,38.07045364,0.77922633,-0.00361172
1,38.23273087,0.77928573,-0.00361465
1,38.39220428,0.77927338,-0.00361630
1,38.55141449,0.77925409,-0.00361711
1,38.71094513,0.77922783,-0.00361833
1,38.87028503,0.77926485,-0.00362032
1,39.03033066,0.77923367,-0.00362374
1,39.19509125,0.77921137,-0.00362642
1,39.36662292,0.77921003,-0.00362977
1,39.54215622,0.77914472,-0.00363277
1,39.71611786,0.77905961,-0.00363723
1,39.89029694,0.77902627,-0.00364406
1,40.04931641,0.77897261,-0.00365156
1,40.20383835,0.77888327,-0.00365934
1,40.36208344,0.77879703,-0.00366574
1,40.52469635,0.77856534,-0.00367391
1,40.68527985,0.77835536,-0.00368230
1,40.86168671,0.77815670,-0.00369063
1,41.03052521,0.77782001,-0.00370105
1,41.20863342,0.77744028,-0.00371172
1,41.39089966,0.77721748,-0.00372220
1,41.57440186,0.77709425,-0.00372907
1,41.74748230,0.77707011,-0.00373786
1,41.93853760,0.77706351,-0.00374529
1,42.11224747,0.77725004,-0.00375188
1,42.27590179,0.77738201,-0.00375929
1,42.46556854,0.77766058,-0.00376342
1,42.66907501,0.77784691,-0.00377276
1,42.89912415,0.77786421,-0.00378484
1,43.14169312,0.77803034,-0.00379500
1,43.39993668,0.77817792,-0.00380523
1,43.65100098,0.77817328,-0.00381843
1,43.92271423,0.77810335,-0.00382445
1,44.18851852,0.77794004,-0.00383539
1,44.45862198,0.77784066,-0.00383822
1,44.72456741,0.77772851,-0.00383924
1,45.00688934,0.77748495,-0.00384328
