seed,total-variance,feature0-linear,feature1-xor_xor_xor
0,0.12074155,0.01817086,-0.00360574
0,0.11659542,0.01966647,-0.00347123
0,0.11642627,0.02082763,-0.00346787
0,0.11733632,0.02184270,-0.00344809
0,0.11886677,0.02252878,-0.00342767
0,0.12051812,0.02325949,-0.00338385
0,0.12203938,0.02411670,-0.00336598
0,0.12332680,0.02483961,-0.00334740
0,0.12456568,0.02546819,-0.00332628
0,0.12580518,0.02587109,-0.00329589
0,0.12705198,0.02620536,-0.00328038
0,0.12833387,0.02652049,-0.00328610
0,0.12989254,0.02673003,-0.00330488
0,0.13160911,0.02703646,-0.00332849
0,0.13355391,0.02740920,-0.00335759
0,0.13542545,0.02762488,-0.00340405
0,0.13747542,0.02771733,-0.00345182
0,0.13957973,0.02779475,-0.00348814
0,0.14166403,0.02776826,-0.00353405
0,0.14386219,0.02775529,-0.00356560
0,0.14613765,0.02780317,-0.00359686
0,0.14827001,0.02785040,-0.00360102
0,0.15065272,0.02784759,-0.00362194
0,0.15320839,0.02792567,-0.00364283
0,0.15590926,0.02802469,-0.00367582
0,0.15862715,0.02805561,-0.00369946
0,0.16119646,0.02808953,-0.00370051
0,0.16385496,0.02814303,-0.00368294
0,0.16689354,0.02813676,-0.00370552
0,0.16991325,0.02816571,-0.00370828
0,0.17309934,0.02819638,-0.00373227
0,0.17665762,0.02828030,-0.00375608
0,0.18041719,0.02840620,-0.00377944
0,0.18461910,0.02839092,-0.00381053
0,0.18928370,0.02831680,-0.00387267
0,0.19455981,0.02796989,-0.00398140
0,0.20064957,0.02766249,-0.00393255
0,0.20840651,0.02713007,-0.00384475
0,0.22758171,0.02673024,-0.00338080
0,0.28387031,0.02563902,0.00106956
0,0.43044192,0.01908620,0.03354071
0,1.67758000,0.00726105,0.13921100
0,6.51029110,0.00849770,0.18794655
0,9.82511139,0.00676454,0.21952816
0,11.78813267,0.00610615,0.23423129
0,13.15359306,0.00575505,0.24267428
0,36.12894058,0.47810937,0.00549743
1,0.08856641,0.01890161,-0.00211782
1,0.08169615,0.02076193,-0.00219445
1,0.08244973,0.02079445,-0.00212410
1,0.08309101,0.02093460,-0.00206279
1,0.08413108,0.02112611,-0.00204195
1,0.08552378,0.02134470,-0.00203537
1,0.08699274,0.02166124,-0.00202928
1,0.08857192,0.02205168,-0.00203727
1,0.09042968,0.02247486,-0.00206169
1,0.09233762,0.02279048,-0.00206339
1,0.09449806,0.02300526,-0.00207723
1,0.09683588,0.02316907,-0.00209480
1,0.09906447,0.02338680,-0.00211596
1,0.10135296,0.02354407,-0.00214004
1,0.10389147,0.02379753,-0.00215393
1,0.10628340,0.02399243,-0.00217615
1,0.10886899,0.02413814,-0.00220391
1,0.11160205,0.02422436,-0.00222846
1,0.11425898,0.02434923,-0.00225249
1,0.11710750,0.02439589,-0.00229192
1,0.11994579,0.02459140,-0.00234170
1,0.12258054,0.02472667,-0.00239339
1,0.12523343,0.02484147,-0.00244030
1,0.12793094,0.02501510,-0.00248319
1,0.13049988,0.02515598,-0.00252666
1,0.13290474,0.02520535,-0.00257593
1,0.13535623,0.02533067,-0.00261842
1,0.13787305,0.02546779,-0.00266024
1,0.14042482,0.02569196,-0.00269535
1,0.14309263,0.02585075,-0.00273911
1,0.14595905,0.02597358,-0.00276610
1,0.14878480,0.02617261,-0.00279082
1,0.15184592,0.02631685,-0.00280840
1,0.15489838,0.02652464,-0.00281347
1,0.15841335,0.02677564,-0.00280342
1,0.16199876,0.02707130,-0.00278876
1,0.16580620,0.02714913,-0.00277342
1,0.17003186,0.02713841,-0.00276001
1,0.17471258,0.02702308,-0.00273672
1,0.17977867,0.02671991,-0.00270436
1,0.18494117,0.02629518,-0.00266108
1,0.19079442,0.02581587,-0.00261547
1,0.19731602,0.02523483,-0.00256231
1,0.20548546,0.02466021,-0.00253474
1,0.21425481,0.02420046,-0.00253025
1,0.22313879,0.02371432,-0.00251673
1,0.23353329,0.02304382,-0.00250838
1,0.24329346,0.02233358,-0.00249289
1,0.25367683,0.02169028,-0.00247926
1,0.26442552,0.02143361,-0.00246515
1,0.27618867,0.02111139,-0.00243827
1,0.28688091,0.02094853,-0.00240444
1,0.29804686,0.02060996,-0.00238664
1,0.30979541,0.02035817,-0.00238042
1,0.32344082,0.02025679,-0.00238413
1,0.33723956,0.02001617,-0.00235892
1,0.35324183,0.01967932,-0.00232332
1,0.36709967,0.01945457,-0.00227985
1,0.38596180,0.01896641,-0.00222524
1,0.40741685,0.01837543,-0.00219179
1,0.43747219,0.01684806,-0.00198909
1,0.51087737,0.01433875,0.00382313
1,0.96431196,0.00781029,0.08243172
1,2.68221879,0.00390327,0.21993615
1,4.08334351,0.00317518,0.26216663
1,4.98690653,0.00281592,0.27982856
1,5.62887669,0.00255039,0.29003499
1,6.12680721,0.00236826,0.29692933
1,6.53164577,0.00221898,0.30202528
1,6.87617493,0.00211108,0.30602885
1,58.49603653,0.60205331,0.00242257
2,0.13891490,0.04518820,-0.00264040
2,0.13281918,0.04654049,-0.00275737
2,0.13008183,0.04793354,-0.00271377
2,0.12888144,0.04902398,-0.00269893
2,0.12842676,0.04992342,-0.00272325
2,0.12883303,0.05070717,-0.00277640
2,0.12957305,0.05143907,-0.00285394
2,0.13073291,0.05208175,-0.00294476
2,0.13230191,0.05276572,-0.00304628
2,0.13411653,0.05334226,-0.00312088
2,0.13597636,0.05399986,-0.00319235
2,0.13784635,0.05460329,-0.00325457
2,0.13967931,0.05511895,-0.00331021
2,0.14154969,0.05563320,-0.00335221
2,0.14355831,0.05628838,-0.00338598
2,0.14558640,0.05686329,-0.00339389
2,0.14767687,0.05755119,-0.00337701
2,0.14998509,0.05826459,-0.00335913
2,0.15230639,0.05880881,-0.00334171
2,0.15461022,0.05941629,-0.00334495
2,0.15689746,0.06022770,-0.00334126
2,0.15927248,0.06085620,-0.00333494
2,0.16161613,0.06137138,-0.00332289
2,0.16417830,0.06208228,-0.00331913
2,0.16682827,0.06261035,-0.00332491
2,0.16939732,0.06310079,-0.00333902
2,0.17214182,0.06345830,-0.00333930
2,0.17517045,0.06386063,-0.00333981
2,0.17816396,0.06424930,-0.00333990
2,0.18135740,0.06475050,-0.00334881
2,0.18479791,0.06525124,-0.00336078
2,0.18820322,0.06538052,-0.00336547
2,0.19170867,0.06554927,-0.00335509
2,0.19545278,0.06570259,-0.00334198
2,0.19958054,0.06591910,-0.00332187
2,0.20409378,0.06603874,-0.00329774
2,0.20909044,0.06592808,-0.00329697
2,0.21429117,0.06589128,-0.00329236
2,0.22049671,0.06562859,-0.00330691
2,0.22746007,0.06512781,-0.00331958
2,0.23485485,0.06449312,-0.00328484
2,0.24287936,0.06411661,-0.00327641
2,0.25142938,0.06358596,-0.00325609
2,0.26070562,0.06280542,-0.00328210
2,0.27014202,0.06188914,-0.00328860
2,0.27939391,0.06109255,-0.00330352
2,0.28878102,0.06040130,-0.00330593
2,0.29821754,0.06006011,-0.00329625
2,0.30805394,0.05992227,-0.00326622
2,0.31794676,0.05952541,-0.00326742
2,0.32867798,0.05898236,-0.00330049
2,0.34059405,0.05842399,-0.00336548
2,0.35276741,0.05768263,-0.00341871
2,0.36720479,0.05743918,-0.00337404
2,0.38235956,0.05680420,-0.00325653
2,0.40421066,0.05588780,-0.00309430
2,0.46283197,0.05193764,0.00119845
2,0.86020505,0.03667050,0.07746011
2,2.71811056,0.01528263,0.22566539
2,4.53455305,0.01106956,0.28394340
2,5.62945652,0.00955103,0.30619149
2,6.38670254,0.00865728,0.31847212
2,6.96600389,0.00803192,0.32660366
2,7.43161440,0.00763109,0.33242996
2,65.03782654,0.61349133,0.00098134
3,0.11284720,0.02508141,-0.00267581
3,0.10879144,0.02434353,-0.00275125
3,0.10823841,0.02431800,-0.00277842
3,0.10861662,0.02441488,-0.00277387
3,0.10937338,0.02447905,-0.00276577
3,0.11049090,0.02448171,-0.00275413
3,0.11182997,0.02462437,-0.00275778
3,0.11319356,0.02467931,-0.00277725
3,0.11460306,0.02475191,-0.00279685
3,0.11591443,0.02486899,-0.00279962
3,0.11769028,0.02504689,-0.00281459
3,0.11934832,0.02527882,-0.00281544
3,0.12106923,0.02560157,-0.00282383
3,0.12278240,0.02592658,-0.00284034
3,0.12441078,0.02620617,-0.00284688
3,0.12614572,0.02647823,-0.00285735
3,0.12801114,0.02686553,-0.00284813
3,0.12997288,0.02717791,-0.00284563
3,0.13209249,0.02760561,-0.00284783
3,0.13417025,0.02802127,-0.00284734
3,0.13624610,0.02847083,-0.00285381
3,0.13828860,0.02884958,-0.00285308
3,0.14019604,0.02915366,-0.00285295
3,0.14205928,0.02947237,-0.00284925
3,0.14413485,0.02972117,-0.00283433
3,0.14616856,0.03000449,-0.00282709
3,0.14835915,0.03020958,-0.00282503
3,0.15071790,0.03043304,-0.00283034
3,0.15302245,0.03058367,-0.00284030
3,0.15554638,0.03060640,-0.00285373
3,0.15825161,0.03057111,-0.00287891
3,0.16139662,0.03055760,-0.00288706
3,0.16498798,0.03066243,-0.00290803
3,0.16874382,0.03077797,-0.00291669
3,0.17255913,0.03083181,-0.00293458
3,0.17652881,0.03091382,-0.00295920
3,0.18056789,0.03117930,-0.00298357
3,0.18517007,0.03129628,-0.00302491
3,0.18981495,0.03144715,-0.00303326
3,0.19517569,0.03150090,-0.00302682
3,0.20103435,0.03170488,-0.00300092
3,0.20733970,0.03191186,-0.00293965
3,0.21432461,0.03187986,-0.00282838
3,0.22170863,0.03152018,-0.00274986
3,0.22930321,0.03112027,-0.00272025
3,0.23774096,0.03069016,-0.00275579
3,0.24601139,0.03040046,-0.00277453
3,0.25502670,0.02998542,-0.00279893
3,0.26372781,0.02983489,-0.00282165
3,0.27373850,0.02942531,-0.00283495
3,0.28384161,0.02887514,-0.00284929
3,0.29331601,0.02842460,-0.00288385
3,0.30294767,0.02807732,-0.00290752
3,0.31446683,0.02761019,-0.00293156
3,0.32720417,0.02708826,-0.00295820
3,0.33921748,0.02677510,-0.00304042
3,0.35247335,0.02644012,-0.00312649
3,0.36617810,0.02591585,-0.00326353
3,0.38199657,0.02512139,-0.00340988
3,0.39839455,0.02467976,-0.00350128
3,0.41743267,0.02394168,-0.00352132
3,0.44045222,0.02334734,-0.00351269
3,0.46162781,0.02308084,-0.00348377
3,0.48779389,0.02256917,-0.00338653
3,0.50902700,0.02253794,-0.00325028
3,0.56553948,0.02222493,0.00362283
3,0.79057580,0.02019460,0.07008539
3,1.68548656,0.01415212,0.22816698
3,2.53231025,0.01157134,0.29052539
3,3.08644366,0.01063551,0.31665074
3,3.48596597,0.01023609,0.33134850
3,3.79804015,0.00995569,0.34112087
3,4.05844688,0.00977809,0.34821129
3,4.27847958,0.00965449,0.35365904
3,4.47271109,0.00955653,0.35804581
3,4.63958788,0.00948761,0.36174913
3,4.79153872,0.00943959,0.36487573
3,4.92957783,0.00938967,0.36761312
3,5.05633545,0.00934945,0.37001169
3,5.17355490,0.00930577,0.37216580
3,68.15004730,0.65080903,0.00324077
4,0.13882527,0.01683923,-0.00179567
4,0.13540156,0.01620222,-0.00175638
4,0.13343515,0.01537326,-0.00185205
4,0.13259737,0.01486122,-0.00191015
4,0.13245142,0.01449300,-0.00198002
4,0.13370351,0.01435287,-0.00198874
4,0.13557592,0.01429954,-0.00197509
4,0.13753267,0.01426322,-0.00193832
4,0.13935517,0.01413119,-0.00190386
4,0.14125174,0.01393539,-0.00186609
4,0.14344622,0.01384772,-0.00183852
4,0.14580217,0.01388228,-0.00182839
4,0.14831351,0.01382657,-0.00181919
4,0.15103567,0.01380183,-0.00180301
4,0.15416096,0.01382771,-0.00179004
4,0.15689877,0.01390354,-0.00179237
4,0.15967454,0.01401602,-0.00179929
4,0.16251329,0.01417811,-0.00180272
4,0.16554976,0.01436217,-0.00180553
4,0.16869740,0.01452625,-0.00180666
4,0.17188299,0.01467687,-0.00179747
4,0.17491114,0.01488685,-0.00180014
4,0.17815772,0.01511019,-0.00179396
4,0.18157361,0.01530050,-0.00178298
4,0.18501204,0.01553629,-0.00176015
4,0.18837918,0.01571172,-0.00175460
4,0.19164696,0.01589197,-0.00175396
4,0.19489737,0.01611643,-0.00174973
4,0.19828174,0.01631059,-0.00174716
4,0.20168108,0.01646601,-0.00174741
4,0.20511945,0.01649084,-0.00175486
