,neuroid_id,region,layer,split,value,pc,arr,col,hemisphere,subregion,animal,y,x,row
0,1,V1,classifier.2,0,0.4536968666321955,0,,,,,,,,
1,2,V1,classifier.2,0,0.7368444082244674,1,,,,,,,,
2,3,V1,classifier.2,0,0.32563546439691976,2,,,,,,,,
3,4,V1,classifier.2,0,0.4011056507256786,3,,,,,,,,
4,5,V1,classifier.2,0,0.477451968576121,4,,,,,,,,
5,6,V1,classifier.2,0,0.2928719115692649,5,,,,,,,,
6,7,V1,classifier.2,0,-0.2672090566374677,6,,,,,,,,
7,8,V1,classifier.2,0,0.3130803444611247,7,,,,,,,,
8,9,V1,classifier.2,0,0.34780136471945805,8,,,,,,,,
9,10,V1,classifier.2,0,-0.10749037782232657,9,,,,,,,,
10,11,V1,classifier.2,0,0.18754306055522985,10,,,,,,,,
11,12,V1,classifier.2,0,0.11557636996757133,11,,,,,,,,
12,13,V1,classifier.2,0,0.24021327070625104,12,,,,,,,,
13,14,V1,classifier.2,0,0.5714762574226383,13,,,,,,,,
14,15,V1,classifier.2,0,-0.5460864448704207,14,,,,,,,,
15,16,V1,classifier.2,0,0.1505659619293581,15,,,,,,,,
16,17,V1,classifier.2,0,-0.011295065100088883,16,,,,,,,,
17,18,V1,classifier.2,0,-0.11955211096005147,17,,,,,,,,
18,19,V1,classifier.2,0,0.38998556707145926,18,,,,,,,,
19,20,V1,classifier.2,0,-0.0699913896869076,19,,,,,,,,
20,21,V1,classifier.2,0,0.25159253798484554,20,,,,,,,,
21,22,V1,classifier.2,0,-0.1313188543971724,21,,,,,,,,
22,23,V1,classifier.2,0,0.18563918662815393,22,,,,,,,,
23,24,V1,classifier.2,0,-0.38283177203122326,23,,,,,,,,
24,25,V1,classifier.2,0,0.19308747368582116,24,,,,,,,,
25,26,V1,classifier.2,0,0.052078070008496104,25,,,,,,,,
26,27,V1,classifier.2,0,0.1406869895805128,26,,,,,,,,
27,28,V1,classifier.2,0,-0.0789457185835926,27,,,,,,,,
28,29,V1,classifier.2,0,0.24319810324963145,28,,,,,,,,
29,30,V1,classifier.2,0,-0.2129446353017142,29,,,,,,,,
30,31,V1,classifier.2,0,0.18928043143218903,30,,,,,,,,
31,32,V1,classifier.2,0,0.009533625417482951,31,,,,,,,,
32,33,V1,classifier.2,0,0.023867649100930317,32,,,,,,,,
33,34,V1,classifier.2,0,0.3173754958866059,33,,,,,,,,
34,35,V1,classifier.2,0,-0.040623516925887955,34,,,,,,,,
35,36,V1,classifier.2,0,0.010663680774357157,35,,,,,,,,
36,37,V1,classifier.2,0,0.014465129590209938,36,,,,,,,,
37,38,V1,classifier.2,0,0.14947233253730016,37,,,,,,,,
38,39,V1,classifier.2,0,0.1585249570890079,38,,,,,,,,
39,40,V1,classifier.2,0,0.17440867714578653,39,,,,,,,,
40,41,V1,classifier.2,0,0.41952180506822045,40,,,,,,,,
41,42,V1,classifier.2,0,-0.08527482229471771,41,,,,,,,,
42,43,V1,classifier.2,0,0.04432141230233312,42,,,,,,,,
43,44,V1,classifier.2,0,-0.1285796257797406,43,,,,,,,,
44,45,V1,classifier.2,0,0.2002814272559852,44,,,,,,,,
45,46,V1,classifier.2,0,-0.16079379443615532,45,,,,,,,,
