,neuroid_id,region,layer,split,value,pc,arr,col,hemisphere,subregion,animal,y,x,row
0,1,V1,classifier.2,0,0.6622647711295653,0,,,,,,,,
1,2,V1,classifier.2,0,0.3333098216461394,1,,,,,,,,
2,3,V1,classifier.2,0,0.3531455706002634,2,,,,,,,,
3,4,V1,classifier.2,0,0.63219340042548,3,,,,,,,,
4,5,V1,classifier.2,0,0.5809083319869873,4,,,,,,,,
5,6,V1,classifier.2,0,0.596582639968636,5,,,,,,,,
6,7,V1,classifier.2,0,0.6769551877679892,6,,,,,,,,
7,8,V1,classifier.2,0,0.5864668100655898,7,,,,,,,,
8,9,V1,classifier.2,0,0.5105406288620888,8,,,,,,,,
9,10,V1,classifier.2,0,0.09878328145572939,9,,,,,,,,
10,11,V1,classifier.2,0,0.3645956530918182,10,,,,,,,,
11,12,V1,classifier.2,0,-0.13366702290797192,11,,,,,,,,
12,13,V1,classifier.2,0,0.5749151341445522,12,,,,,,,,
13,14,V1,classifier.2,0,0.6045128242512419,13,,,,,,,,
14,15,V1,classifier.2,0,-0.07791363008679325,14,,,,,,,,
15,16,V1,classifier.2,0,0.27344953432768715,15,,,,,,,,
16,17,V1,classifier.2,0,0.10348829651235288,16,,,,,,,,
17,18,V1,classifier.2,0,0.22679609521836927,17,,,,,,,,
18,19,V1,classifier.2,0,0.22072119213643315,18,,,,,,,,
19,20,V1,classifier.2,0,0.06253968539170117,19,,,,,,,,
20,21,V1,classifier.2,0,0.2920297575964456,20,,,,,,,,
21,22,V1,classifier.2,0,-0.21322560403451205,21,,,,,,,,
22,23,V1,classifier.2,0,0.590834630858298,22,,,,,,,,
23,24,V1,classifier.2,0,-0.08855051175141962,23,,,,,,,,
24,25,V1,classifier.2,0,-0.14309803380839664,24,,,,,,,,
25,26,V1,classifier.2,0,-0.22320570064742776,25,,,,,,,,
26,27,V1,classifier.2,0,0.5347679176592873,26,,,,,,,,
27,28,V1,classifier.2,0,-0.1303046024201662,27,,,,,,,,
28,29,V1,classifier.2,0,0.2703234773946292,28,,,,,,,,
29,30,V1,classifier.2,0,0.08732062062736785,29,,,,,,,,
30,31,V1,classifier.2,0,-0.2297011526400922,30,,,,,,,,
31,32,V1,classifier.2,0,-0.17876718641653344,31,,,,,,,,
32,33,V1,classifier.2,0,0.08371165124912493,32,,,,,,,,
33,34,V1,classifier.2,0,0.38385273708049616,33,,,,,,,,
34,35,V1,classifier.2,0,-0.08637493457618557,34,,,,,,,,
35,36,V1,classifier.2,0,-0.019701660182132718,35,,,,,,,,
36,37,V1,classifier.2,0,-0.21734245611070832,36,,,,,,,,
37,38,V1,classifier.2,0,-0.027176542978321182,37,,,,,,,,
38,39,V1,classifier.2,0,0.4209341220204311,38,,,,,,,,
39,40,V1,classifier.2,0,-0.1499523355208307,39,,,,,,,,
40,41,V1,classifier.2,0,-0.11613685442108312,40,,,,,,,,
41,42,V1,classifier.2,0,0.4384823861609391,41,,,,,,,,
42,43,V1,classifier.2,0,0.13511429760079444,42,,,,,,,,
43,44,V1,classifier.2,0,-0.01184077475563919,43,,,,,,,,
44,45,V1,classifier.2,0,0.31287457553038206,44,,,,,,,,
45,46,V1,classifier.2,0,-0.3882584370111388,45,,,,,,,,
46,47,V1,classifier.2,0,-0.3505779995985369,46,,,,,,,,
47,48,V1,classifier.2,0,-0.3032398442845434,47,,,,,,,,
48,49,V1,classifier.2,0,0.20863316240540106,48,,,,,,,,
49,50,V1,classifier.2,0,0.43093152174494553,49,,,,,,,,
50,51,V1,classifier.2,0,0.003495485239806168,50,,,,,,,,
51,52,V1,classifier.2,0,-0.39275278418826437,51,,,,,,,,
52,53,V1,classifier.2,0,-0.20448256061003442,52,,,,,,,,
53,54,V1,classifier.2,0,-0.5555305590918941,53,,,,,,,,
54,55,V1,classifier.2,0,-0.3228412313551939,54,,,,,,,,
55,56,V1,classifier.2,0,-0.2558023269309542,55,,,,,,,,
56,57,V1,classifier.2,0,0.24197862164669368,56,,,,,,,,
57,58,V1,classifier.2,0,-0.13533595067982393,57,,,,,,,,
58,59,V1,classifier.2,0,-0.44374567691561334,58,,,,,,,,
59,60,V1,classifier.2,0,-0.24144684769286204,59,,,,,,,,
60,61,V1,classifier.2,0,0.3852923495308503,60,,,,,,,,
61,62,V1,classifier.2,0,-0.1116203012108549,61,,,,,,,,
62,63,V1,classifier.2,0,-0.1291225403541317,62,,,,,,,,
63,64,V1,classifier.2,0,0.1347098119580374,63,,,,,,,,
64,65,V1,classifier.2,0,0.08725915732245616,64,,,,,,,,
65,66,V1,classifier.2,0,-0.25465691898451187,65,,,,,,,,
66,67,V1,classifier.2,0,0.20695676021475667,66,,,,,,,,
67,68,V1,classifier.2,0,0.41879968596583445,67,,,,,,,,
68,69,V1,classifier.2,0,-0.06855101530284362,68,,,,,,,,
69,70,V1,classifier.2,0,-0.13106036759892192,69,,,,,,,,
70,71,V1,classifier.2,0,0.10334025065184894,70,,,,,,,,
71,72,V1,classifier.2,0,-0.2882107598207009,71,,,,,,,,
72,73,V1,classifier.2,0,0.27281976774533867,72,,,,,,,,
73,74,V1,classifier.2,0,-0.2995458561600767,73,,,,,,,,
74,75,V1,classifier.2,0,-0.022086998977348175,74,,,,,,,,
75,76,V1,classifier.2,0,0.19796841726852404,75,,,,,,,,
76,77,V1,classifier.2,0,-0.0316161527416642,76,,,,,,,,
77,78,V1,classifier.2,0,-0.2301503898287809,77,,,,,,,,
78,79,V1,classifier.2,0,0.2281662643700221,78,,,,,,,,
79,80,V1,classifier.2,0,-0.171361550162696,79,,,,,,,,
80,81,V1,classifier.2,0,0.022069426840293574,80,,,,,,,,
81,82,V1,classifier.2,0,-0.285670626643492,81,,,,,,,,
82,83,V1,classifier.2,0,-0.3735706745365393,82,,,,,,,,
83,84,V1,classifier.2,0,-0.09597492054023943,83,,,,,,,,
84,85,V1,classifier.2,0,-0.09385648190419972,84,,,,,,,,
85,86,V1,classifier.2,0,-0.03588976330770883,85,,,,,,,,
86,87,V1,classifier.2,0,-0.09399405144519399,86,,,,,,,,
87,88,V1,classifier.2,0,-0.3715119055990564,87,,,,,,,,
88,89,V1,classifier.2,0,-0.06610309046701537,88,,,,,,,,
89,90,V1,classifier.2,0,-0.5376620882234234,89,,,,,,,,
90,91,V1,classifier.2,0,-0.2661875513605109,90,,,,,,,,
91,92,V1,classifier.2,0,0.20442385105613406,91,,,,,,,,
92,93,V1,classifier.2,0,-0.3778851666834476,92,,,,,,,,
93,94,V1,classifier.2,0,-0.4973187429596617,93,,,,,,,,
94,95,V1,classifier.2,0,-0.7123568616300938,94,,,,,,,,
95,96,V1,classifier.2,0,-0.16625923992051383,95,,,,,,,,
96,97,V1,classifier.2,0,-0.43392702211202533,96,,,,,,,,
97,98,V1,classifier.2,0,0.12552761487447606,97,,,,,,,,
98,99,V1,classifier.2,0,-0.08734509326570901,98,,,,,,,,
99,100,V1,classifier.2,0,-0.6236368583748071,99,,,,,,,,
100,101,V1,classifier.2,0,-0.10313032393853203,100,,,,,,,,
101,102,V1,classifier.2,0,-0.4829325039277543,101,,,,,,,,
102,1,V1,classifier.2,1,0.9251193821955404,0,,,,,,,,
103,2,V1,classifier.2,1,0.7908404470760811,1,,,,,,,,
104,3,V1,classifier.2,1,0.6813910857015992,2,,,,,,,,
105,4,V1,classifier.2,1,0.850322323877143,3,,,,,,,,
106,5,V1,classifier.2,1,0.7167662668437013,4,,,,,,,,
107,6,V1,classifier.2,1,0.2248055174676636,5,,,,,,,,
108,7,V1,classifier.2,1,0.5305230756901427,6,,,,,,,,
109,8,V1,classifier.2,1,0.7882420504546692,7,,,,,,,,
110,9,V1,classifier.2,1,0.33706327258306934,8,,,,,,,,
111,10,V1,classifier.2,1,0.4113039756760886,9,,,,,,,,
112,11,V1,classifier.2,1,0.03432567244474028,10,,,,,,,,
113,12,V1,classifier.2,1,0.283216162650872,11,,,,,,,,
114,13,V1,classifier.2,1,0.5400401845264049,12,,,,,,,,
115,14,V1,classifier.2,1,0.2544283552716564,13,,,,,,,,
116,15,V1,classifier.2,1,0.6554608358483252,14,,,,,,,,
117,16,V1,classifier.2,1,-0.1637102378095023,15,,,,,,,,
118,17,V1,classifier.2,1,-0.10698938200821549,16,,,,,,,,
119,18,V1,classifier.2,1,0.39337886265147676,17,,,,,,,,
120,19,V1,classifier.2,1,-0.018697946997208413,18,,,,,,,,
121,20,V1,classifier.2,1,-0.13966241312088937,19,,,,,,,,
