,neuroid_id,region,layer,split,value,pc,arr,col,hemisphere,subregion,animal,y,x,row
0,1,V1,layer1.0.relu,0,0.3135198681746209,0,,,,,,,,
1,2,V1,layer1.0.relu,0,0.3503930891631039,1,,,,,,,,
2,3,V1,layer1.0.relu,0,0.47798500723968085,2,,,,,,,,
3,4,V1,layer1.0.relu,0,0.29160621720016494,3,,,,,,,,
4,5,V1,layer1.0.relu,0,0.46189970920265033,4,,,,,,,,
5,6,V1,layer1.0.relu,0,0.5865405946984072,5,,,,,,,,
6,7,V1,layer1.0.relu,0,0.2436542343289295,6,,,,,,,,
7,8,V1,layer1.0.relu,0,0.4526461756965598,7,,,,,,,,
8,9,V1,layer1.0.relu,0,-0.27429123295899616,8,,,,,,,,
9,10,V1,layer1.0.relu,0,0.36925532861302374,9,,,,,,,,
10,11,V1,layer1.0.relu,0,0.6233068871609398,10,,,,,,,,
11,12,V1,layer1.0.relu,0,-0.19180427935471187,11,,,,,,,,
12,13,V1,layer1.0.relu,0,0.47292060945490055,12,,,,,,,,
13,14,V1,layer1.0.relu,0,0.46276666845255626,13,,,,,,,,
14,15,V1,layer1.0.relu,0,0.24630266883861318,14,,,,,,,,
15,16,V1,layer1.0.relu,0,-0.23685526087556813,15,,,,,,,,
16,17,V1,layer1.0.relu,0,0.1723687315931052,16,,,,,,,,
17,18,V1,layer1.0.relu,0,0.36372040594747723,17,,,,,,,,
18,19,V1,layer1.0.relu,0,0.8450239213120648,18,,,,,,,,
19,20,V1,layer1.0.relu,0,0.060690025042450815,19,,,,,,,,
20,21,V1,layer1.0.relu,0,0.45203044163994976,20,,,,,,,,
21,22,V1,layer1.0.relu,0,0.026331405611772794,21,,,,,,,,
22,23,V1,layer1.0.relu,0,0.3841219664452715,22,,,,,,,,
23,24,V1,layer1.0.relu,0,-0.325270184508852,23,,,,,,,,
24,25,V1,layer1.0.relu,0,0.13425321521238753,24,,,,,,,,
25,26,V1,layer1.0.relu,0,0.5107672061202264,25,,,,,,,,
26,27,V1,layer1.0.relu,0,0.42555937962341267,26,,,,,,,,
27,28,V1,layer1.0.relu,0,-0.5654997648400415,27,,,,,,,,
28,29,V1,layer1.0.relu,0,0.11758018769492976,28,,,,,,,,
29,30,V1,layer1.0.relu,0,0.49644958522278365,29,,,,,,,,
30,31,V1,layer1.0.relu,0,-0.01275342002559435,30,,,,,,,,
31,32,V1,layer1.0.relu,0,0.40228735377542757,31,,,,,,,,
32,33,V1,layer1.0.relu,0,0.2952040814312752,32,,,,,,,,
33,34,V1,layer1.0.relu,0,0.33412749261493896,33,,,,,,,,
34,35,V1,layer1.0.relu,0,0.265248958560711,34,,,,,,,,
