,neuroid_id,region,layer,split,value,pc,arr,col,hemisphere,subregion,animal,y,x,row
0,1,V1,layer1.0.relu,0,0.3135198681746208,0,,,,,,,,
1,2,V1,layer1.0.relu,0,0.35039308916310125,1,,,,,,,,
2,3,V1,layer1.0.relu,0,0.4779850072396774,2,,,,,,,,
3,4,V1,layer1.0.relu,0,0.29160621720016394,3,,,,,,,,
4,5,V1,layer1.0.relu,0,0.46189970920267726,4,,,,,,,,
5,6,V1,layer1.0.relu,0,0.5865405946983886,5,,,,,,,,
6,7,V1,layer1.0.relu,0,0.24365423432893055,6,,,,,,,,
7,8,V1,layer1.0.relu,0,0.45264617569655896,7,,,,,,,,
8,9,V1,layer1.0.relu,0,-0.27429123295899444,8,,,,,,,,
9,10,V1,layer1.0.relu,0,0.36925532861302246,9,,,,,,,,
10,11,V1,layer1.0.relu,0,0.6233068871609416,10,,,,,,,,
11,12,V1,layer1.0.relu,0,-0.19180427935471053,11,,,,,,,,
12,13,V1,layer1.0.relu,0,0.47292060945489883,12,,,,,,,,
13,14,V1,layer1.0.relu,0,0.4627666684525522,13,,,,,,,,
14,15,V1,layer1.0.relu,0,0.24630266883862473,14,,,,,,,,
15,16,V1,layer1.0.relu,0,-0.23685526087556838,15,,,,,,,,
16,17,V1,layer1.0.relu,0,0.17236873159311067,16,,,,,,,,
17,18,V1,layer1.0.relu,0,0.36372040594747895,17,,,,,,,,
18,19,V1,layer1.0.relu,0,0.8450239213120643,18,,,,,,,,
19,20,V1,layer1.0.relu,0,0.06069002504245108,19,,,,,,,,
20,21,V1,layer1.0.relu,0,0.45203044163995115,20,,,,,,,,
21,22,V1,layer1.0.relu,0,0.026331405611643086,21,,,,,,,,
22,23,V1,layer1.0.relu,0,0.384121966444965,22,,,,,,,,
23,24,V1,layer1.0.relu,0,-0.3252701845088615,23,,,,,,,,
24,25,V1,layer1.0.relu,0,0.1342532152123812,24,,,,,,,,
25,26,V1,layer1.0.relu,0,0.5107672061202218,25,,,,,,,,
26,27,V1,layer1.0.relu,0,0.42555937962340995,26,,,,,,,,
27,28,V1,layer1.0.relu,0,-0.5654997648400418,27,,,,,,,,
28,29,V1,layer1.0.relu,0,0.11758018769492715,28,,,,,,,,
29,30,V1,layer1.0.relu,0,0.49644958522278493,29,,,,,,,,
30,31,V1,layer1.0.relu,0,-0.012753420025592967,30,,,,,,,,
31,32,V1,layer1.0.relu,0,0.40228735377543673,31,,,,,,,,
32,33,V1,layer1.0.relu,0,0.29520408143127697,32,,,,,,,,
33,34,V1,layer1.0.relu,0,0.3341274926149379,33,,,,,,,,
34,35,V1,layer1.0.relu,0,0.2652489585606999,34,,,,,,,,
35,36,V1,layer1.0.relu,0,0.4723677787900346,35,,,,,,,,
36,37,V1,layer1.0.relu,0,-0.28943689031196357,36,,,,,,,,
37,38,V1,layer1.0.relu,0,-0.4397378360369011,37,,,,,,,,
38,39,V1,layer1.0.relu,0,-0.24966860190760728,38,,,,,,,,
39,40,V1,layer1.0.relu,0,-0.32322504147175923,39,,,,,,,,
40,41,V1,layer1.0.relu,0,0.26481650434521486,40,,,,,,,,
41,42,V1,layer1.0.relu,0,0.00981301381660454,41,,,,,,,,
42,43,V1,layer1.0.relu,0,0.16939944892446646,42,,,,,,,,
43,44,V1,layer1.0.relu,0,0.12482936197120717,43,,,,,,,,
44,45,V1,layer1.0.relu,0,0.37151978018390824,44,,,,,,,,
45,46,V1,layer1.0.relu,0,0.08271055671562075,45,,,,,,,,
46,47,V1,layer1.0.relu,0,-0.738456588087688,46,,,,,,,,
47,48,V1,layer1.0.relu,0,-0.36995525931813666,47,,,,,,,,
48,49,V1,layer1.0.relu,0,0.3493763668599483,48,,,,,,,,
49,50,V1,layer1.0.relu,0,-0.3715446258559537,49,,,,,,,,
50,51,V1,layer1.0.relu,0,-0.06818591906038694,50,,,,,,,,
51,52,V1,layer1.0.relu,0,0.33954494470905694,51,,,,,,,,
52,53,V1,layer1.0.relu,0,0.286391229082128,52,,,,,,,,
53,54,V1,layer1.0.relu,0,-0.19664382813651254,53,,,,,,,,
