seed,epoch,test-loss,total-acc,test-acc_feature0,test-loss_feature0
0,0,0.69477260,0.49121094,0.49121094,0.69477260
0,100,0.01001425,1.00000000,1.00000000,0.01001425
0,200,0.00219089,1.00000000,1.00000000,0.00219089
0,300,0.00110208,1.00000000,1.00000000,0.00110208
0,400,0.00070833,1.00000000,1.00000000,0.00070833
1,0,0.69886416,0.47460938,0.47460938,0.69886416
1,100,0.01470718,1.00000000,1.00000000,0.01470718
1,200,0.00258763,1.00000000,1.00000000,0.00258763
1,300,0.00123086,1.00000000,1.00000000,0.00123086
1,400,0.00076980,1.00000000,1.00000000,0.00076980
2,0,0.68214202,0.51562500,0.51562500,0.68214202
2,100,0.01079805,1.00000000,1.00000000,0.01079805
2,200,0.00222627,1.00000000,1.00000000,0.00222627
2,300,0.00109097,1.00000000,1.00000000,0.00109097
2,400,0.00069007,1.00000000,1.00000000,0.00069007
3,0,0.68973041,0.55273438,0.55273438,0.68973041
3,100,0.00847955,1.00000000,1.00000000,0.00847955
3,200,0.00202090,1.00000000,1.00000000,0.00202090
3,300,0.00102852,1.00000000,1.00000000,0.00102852
3,400,0.00066252,1.00000000,1.00000000,0.00066252
4,0,0.68899500,0.59863281,0.59863281,0.68899500
4,100,0.01078648,1.00000000,1.00000000,0.01078648
4,200,0.00215658,1.00000000,1.00000000,0.00215658
4,300,0.00105170,1.00000000,1.00000000,0.00105170
4,400,0.00066377,1.00000000,1.00000000,0.00066377
