seed,epoch,test-loss,total-acc,test-acc_feature0,test-acc_feature1,test-loss_feature0,test-loss_feature1
0,0,0.69285154,0.53369141,0.56738281,0.50000000,0.68952751,0.69617546
0,100,0.36043561,0.75000000,1.00000000,0.50000000,0.00964046,0.71123075
0,200,0.35972935,0.75000000,1.00000000,0.50000000,0.00212017,0.71733850
0,300,0.36060572,0.75000000,1.00000000,0.50000000,0.00106272,0.72014874
0,400,0.36133182,0.75000000,1.00000000,0.50000000,0.00068079,0.72198278
0,500,0.36190653,0.75000000,1.00000000,0.50000000,0.00049069,0.72332227
0,600,0.36238447,0.75000000,1.00000000,0.50000000,0.00037895,0.72438991
0,700,0.36279011,0.75000000,1.00000000,0.50000000,0.00030625,0.72527397
0,800,0.36314237,0.75000000,1.00000000,0.50000000,0.00025553,0.72602928
0,900,0.36345077,0.75000000,1.00000000,0.50000000,0.00021832,0.72668326
0,1000,0.36372441,0.75000000,1.00000000,0.50000000,0.00019001,0.72725886
0,1100,0.36397165,0.75000000,1.00000000,0.50000000,0.00016779,0.72777551
0,1200,0.36419785,0.75000000,1.00000000,0.50000000,0.00014996,0.72824579
0,1300,0.36440712,0.75000000,1.00000000,0.50000000,0.00013535,0.72867882
0,1400,0.36459929,0.75000000,1.00000000,0.50000000,0.00012315,0.72907543
0,1500,0.36477458,0.75000000,1.00000000,0.50000000,0.00011286,0.72943640
0,1600,0.36493480,0.75000000,1.00000000,0.50000000,0.00010407,0.72976553
0,1700,0.36508310,0.75000000,1.00000000,0.50000000,0.00009649,0.73006970
0,1800,0.36522126,0.75000000,1.00000000,0.50000000,0.00008990,0.73035270
0,1900,0.36535060,0.75000000,1.00000000,0.50000000,0.00008408,0.73061705
0,2000,0.36547172,0.75000000,1.00000000,0.50000000,0.00007892,0.73086452
0,2100,0.36558533,0.75000000,1.00000000,0.50000000,0.00007430,0.73109639
0,2200,0.36569315,0.75000000,1.00000000,0.50000000,0.00007020,0.73131615
0,2300,0.36579639,0.75000000,1.00000000,0.50000000,0.00006649,0.73152632
0,2400,0.36589503,0.75000000,1.00000000,0.50000000,0.00006317,0.73172688
0,2500,0.36598927,0.75000000,1.00000000,0.50000000,0.00006016,0.73191845
0,2600,0.36607909,0.75000000,1.00000000,0.50000000,0.00005744,0.73210078
0,2700,0.36616439,0.75000000,1.00000000,0.50000000,0.00005495,0.73227376
0,2800,0.36624509,0.75000000,1.00000000,0.50000000,0.00005267,0.73243749
0,2900,0.36632165,0.75000000,1.00000000,0.50000000,0.00005056,0.73259276
0,3000,0.36639416,0.75000000,1.00000000,0.50000000,0.00004862,0.73273969
0,3100,0.36646301,0.75000000,1.00000000,0.50000000,0.00004680,0.73287916
0,3200,0.36652857,0.75000000,1.00000000,0.50000000,0.00004511,0.73301196
0,3300,0.36659092,0.75000000,1.00000000,0.50000000,0.00004355,0.73313820
