seed,epoch,test-loss,total-variance,total-acc,test-acc_feature0-linear,test-acc_feature1-xor_xor_xor,test-loss_feature0-linear,test-loss_feature1-xor_xor_xor,rep-R2_feature0-linear,rep-R2_feature1-xor_xor_xor
0,0,0.69570458,0.00640415,0.49365234,0.48730469,0.50000000,0.69506502,0.69634402,0.00000000,0.00000000
0,100,0.69497997,0.00623331,0.49365234,0.48730469,0.50000000,0.69448221,0.69547778,0.00000000,0.00000000
0,200,0.69442153,0.00611564,0.49365234,0.48730469,0.50000000,0.69398236,0.69486082,0.00000000,0.00000000
0,300,0.69397622,0.00604296,0.49365234,0.48730469,0.50000000,0.69353271,0.69441962,0.00000000,0.00000000
0,400,0.69360399,0.00600795,0.49365234,0.48730469,0.50000000,0.69310755,0.69410038,0.00000000,0.00000000
0,500,0.69327593,0.00601078,0.49365234,0.48730469,0.50000000,0.69268298,0.69386882,0.00000000,0.00000000
0,600,0.69296420,0.00605792,0.49365234,0.48730469,0.50000000,0.69222820,0.69370031,0.00000000,0.00000000
0,700,0.69262356,0.00617821,0.49365234,0.48730469,0.50000000,0.69167149,0.69357574,0.00000000,0.00000000
0,800,0.69222486,0.00639583,0.49365234,0.48730469,0.50000000,0.69096363,0.69348621,0.00000000,0.00000000
0,900,0.69181740,0.00666877,0.49365234,0.48730469,0.50000000,0.69021261,0.69342214,0.00000000,0.00000000
0,1000,0.69141030,0.00698157,0.49365234,0.48730469,0.50000000,0.68944341,0.69337732,0.00000000,0.00000000
0,1100,0.69097447,0.00736196,0.49560547,0.49121094,0.50000000,0.68860257,0.69334638,0.00000000,0.00000000
0,1200,0.69048822,0.00783318,0.51318359,0.52636719,0.50000000,0.68765032,0.69332600,0.00000000,0.00000000
0,1300,0.68992817,0.00843011,0.55957031,0.61914062,0.50000000,0.68654299,0.69331348,0.00000000,0.00000000
0,1400,0.68926710,0.00919178,0.62451172,0.74804688,0.50097656,0.68522567,0.69330847,0.00000000,0.00000000
0,1500,0.68847239,0.01017575,0.67822266,0.85644531,0.50000000,0.68363601,0.69330859,0.00000000,0.00000000
0,1600,0.68749911,0.01146332,0.71630859,0.93164062,0.50097656,0.68168640,0.69331169,0.00000000,0.00000000
0,1700,0.68628657,0.01317534,0.74023438,0.97851562,0.50195312,0.67925394,0.69331920,0.00000000,0.00000000
0,1800,0.68475389,0.01549174,0.74658203,0.99609375,0.49707031,0.67617697,0.69333088,0.00000000,0.00000000
0,1900,0.68278998,0.01868443,0.74560547,1.00000000,0.49121094,0.67223251,0.69334757,0.00000000,0.00000000
0,2000,0.68022144,0.02321989,0.74462891,1.00000000,0.48925781,0.66707104,0.69337189,0.00000000,0.00000000
0,2100,0.67679548,0.02983652,0.73876953,1.00000000,0.47753906,0.66018975,0.69340116,0.00000000,0.00000000
0,2200,0.67215645,0.03973681,0.73486328,1.00000000,0.46972656,0.65087593,0.69343698,0.00000000,0.00000000
0,2300,0.66575843,0.05500035,0.73193359,1.00000000,0.46386719,0.63804078,0.69347608,0.00000000,0.00000000
