seed,epoch,test-loss,total-variance,total-acc,test-acc_feature0-linear,test-acc_feature1-xor_xor_xor,test-loss_feature0-linear,test-loss_feature1-xor_xor_xor,rep-R2_feature0-linear,rep-R2_feature1-xor_xor_xor
0,0,0.34731615,0.00000000,0.75244141,1.00000000,0.50488281,0.00001592,0.69461638,0.00000000,0.00000000
0,10,0.00210146,0.00000000,1.00000000,1.00000000,1.00000000,0.00008802,0.00411491,0.00000000,0.00000000
0,20,0.00005893,0.00000000,1.00000000,1.00000000,1.00000000,0.00000389,0.00011398,0.00000000,0.00000000
0,30,0.00001777,0.00000000,1.00000000,1.00000000,1.00000000,0.00000134,0.00003420,0.00000000,0.00000000
0,40,0.00000811,0.00000000,1.00000000,1.00000000,1.00000000,0.00000064,0.00001558,0.00000000,0.00000000
0,50,0.00000424,0.00000000,1.00000000,1.00000000,1.00000000,0.00000035,0.00000813,0.00000000,0.00000000
0,60,0.00000246,0.00000000,1.00000000,1.00000000,1.00000000,0.00000021,0.00000471,0.00000000,0.00000000
0,70,0.00000150,0.00000000,1.00000000,1.00000000,1.00000000,0.00000013,0.00000286,0.00000000,0.00000000
0,80,0.00000094,0.00000000,1.00000000,1.00000000,1.00000000,0.00000008,0.00000180,0.00000000,0.00000000
0,90,0.00000060,0.00000000,1.00000000,1.00000000,1.00000000,0.00000006,0.00000115,0.00000000,0.00000000
0,100,0.00000039,0.00000000,1.00000000,1.00000000,1.00000000,0.00000004,0.00000075,0.00000000,0.00000000
0,110,0.00000026,0.00000000,1.00000000,1.00000000,1.00000000,0.00000003,0.00000050,0.00000000,0.00000000
0,120,0.00000018,0.00000000,1.00000000,1.00000000,1.00000000,0.00000002,0.00000034,0.00000000,0.00000000
0,130,0.00000012,0.00000000,1.00000000,1.00000000,1.00000000,0.00000001,0.00000022,0.00000000,0.00000000
0,140,0.00000008,0.00000000,1.00000000,1.00000000,1.00000000,0.00000001,0.00000015,0.00000000,0.00000000
0,150,0.00000005,0.00000000,1.00000000,1.00000000,1.00000000,0.00000001,0.00000010,0.00000000,0.00000000
0,160,0.00000004,0.00000000,1.00000000,1.00000000,1.00000000,0.00000001,0.00000007,0.00000000,0.00000000
0,170,0.00000003,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000005,0.00000000,0.00000000
0,180,0.00000002,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000004,0.00000000,0.00000000
0,190,0.00000001,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000002,0.00000000,0.00000000
0,199,0.00000001,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000002,0.00000000,0.00000000
