seed,total-variance,feature0-linear,feature1-xor_xor_xor
0,0.12088109,0.01830728,-0.00359336
0,2.65164208,0.51724771,-0.00146567
0,10.56884766,0.65951039,-0.00107635
0,14.16481113,0.68275428,-0.00111928
0,16.43919182,0.69290897,-0.00108402
0,18.10541153,0.69851347,-0.00103554
0,19.41143227,0.70113318,-0.00099941
0,20.49467659,0.70347088,-0.00096814
0,21.41974640,0.70541624,-0.00094447
0,22.22744942,0.70689590,-0.00092808
0,22.94786453,0.70812567,-0.00091422
0,23.59394073,0.70900639,-0.00090295
0,24.18461227,0.70991894,-0.00089438
0,24.72462463,0.71062579,-0.00088729
0,25.22864532,0.71123703,-0.00088158
0,25.69887543,0.71189876,-0.00087374
0,26.14646912,0.71263682,-0.00086849
0,26.56793976,0.71296507,-0.00086716
0,26.96624374,0.71328197,-0.00086561
0,27.34363556,0.71358239,-0.00086484
0,27.70689774,0.71388351,-0.00086542
0,28.05658340,0.71420324,-0.00086912
0,28.39468575,0.71440818,-0.00087242
0,28.72037888,0.71466365,-0.00086858
0,29.03565979,0.71493215,-0.00086682
0,29.34034729,0.71499710,-0.00086734
0,29.63502884,0.71507350,-0.00086615
0,29.91994286,0.71516161,-0.00086695
0,30.19506454,0.71520376,-0.00086960
0,30.46335411,0.71522183,-0.00086939
0,30.72503662,0.71514947,-0.00087164
0,30.97858047,0.71502774,-0.00087064
0,31.22170258,0.71486085,-0.00086331
0,31.45681000,0.71466076,-0.00085480
0,31.68582153,0.71449757,-0.00084349
0,31.91312408,0.71438141,-0.00083012
0,32.13934326,0.71426674,-0.00081781
0,32.35758972,0.71416699,-0.00080687
0,32.57584000,0.71392400,-0.00079413
0,32.79109192,0.71363703,-0.00078163
0,33.00767136,0.71332814,-0.00076754
0,33.22046280,0.71307469,-0.00075717
0,33.43074036,0.71279271,-0.00074380
0,33.63903046,0.71266984,-0.00073187
0,33.84544373,0.71242172,-0.00072605
0,34.04512024,0.71233582,-0.00072135
0,34.24269485,0.71220029,-0.00071569
0,34.44614792,0.71206076,-0.00071266
0,34.65188980,0.71185352,-0.00070791
0,34.84808350,0.71155807,-0.00070161
0,35.03541946,0.71117085,-0.00069508
0,35.22351074,0.71072346,-0.00069008
0,35.40974045,0.70988380,-0.00068525
0,35.59996033,0.70932505,-0.00067925
0,35.78513336,0.70905458,-0.00067944
0,35.96881104,0.70893972,-0.00068269
0,36.14900589,0.70898057,-0.00068713
0,36.33082962,0.70949563,-0.00069136
0,36.52091217,0.71114707,-0.00069074
0,36.70973587,0.71317513,-0.00068527
0,36.89042282,0.71405573,-0.00067757
0,37.06230164,0.71410217,-0.00067441
0,37.23543167,0.71419944,-0.00067342
0,37.40371704,0.71430298,-0.00067146
0,37.58269501,0.71430445,-0.00067155
0,37.76567841,0.71424396,-0.00067049
0,37.94849396,0.71403274,-0.00067039
0,38.13375854,0.71405518,-0.00067258
0,38.32081985,0.71391674,-0.00067447
0,38.49980164,0.71389729,-0.00067635
0,38.67245102,0.71396598,-0.00067980
0,38.83707809,0.71390876,-0.00068287
0,39.00017548,0.71360426,-0.00068176
0,39.18352890,0.71338175,-0.00068486
0,39.37590027,0.71302761,-0.00069459
0,39.57587814,0.71265963,-0.00069948
0,39.76034927,0.71230387,-0.00070500
0,39.92868042,0.71204555,-0.00070412
0,40.09513474,0.71178107,-0.00069246
0,40.26800919,0.71159113,-0.00069179
0,40.44288254,0.71155521,-0.00067446
0,40.61176300,0.71148073,-0.00065818
0,40.77716827,0.71094222,-0.00064485
0,40.94574738,0.71031968,-0.00063798
0,41.12096405,0.70985923,-0.00063688
0,41.28979874,0.70919883,-0.00062977
0,41.44820404,0.70831849,-0.00062217
0,41.61368561,0.70793718,-0.00062476
0,41.79978180,0.70777069,-0.00063343
0,41.97426224,0.70689742,-0.00063860
0,42.14064026,0.70593403,-0.00064941
