seed,total-variance,feature0-linear,feature1-xor_xor_xor
0,0.05851010,0.05036195,-0.00211061
0,15.36670303,0.68599356,-0.00714732
0,19.65358543,0.70121558,-0.00710154
0,22.08475113,0.70315686,-0.00701249
0,23.81925964,0.70647280,-0.00702968
0,25.19527626,0.71184358,-0.00708481
0,26.31600380,0.72021385,-0.00724101
0,27.24600220,0.72646685,-0.00731339
0,28.07444763,0.72698650,-0.00730487
0,28.85001373,0.72527702,-0.00728234
0,29.56239510,0.72239602,-0.00725834
0,30.23718643,0.71999563,-0.00724916
0,30.88737106,0.71801462,-0.00726842
0,31.50247574,0.71402771,-0.00727636
0,32.12654877,0.71354124,-0.00729946
0,32.81406021,0.71397789,-0.00729062
0,33.75495911,0.71074884,-0.00698034
0,34.20530701,0.68053340,-0.00419901
0,42.98897552,0.50634052,0.03803701
0,64.24085999,0.43595986,0.07326429
0,70.19570923,0.41941675,0.08370061
0,73.68570709,0.41191251,0.08885731
1,0.08918953,0.03669561,-0.00432828
1,17.31127739,0.70052365,-0.00115210
1,22.13946915,0.71331765,-0.00114137
1,24.84386444,0.71823652,-0.00111560
1,26.78209877,0.72292956,-0.00107965
1,28.30362129,0.72625676,-0.00107521
1,29.53275299,0.73031266,-0.00104576
1,30.57204628,0.73186766,-0.00103667
1,31.48425865,0.73279197,-0.00101541
1,32.29740524,0.73334754,-0.00104905
1,33.03774643,0.73305671,-0.00105142
1,33.73238754,0.73339457,-0.00104717
1,34.38877487,0.73280616,-0.00103472
1,34.95789337,0.73258947,-0.00102165
1,35.56851196,0.73295805,-0.00099089
1,36.31188202,0.72991626,-0.00089638
1,41.22417831,0.67985671,-0.00036275
1,117.10224152,0.58975536,0.00477310
1,451.53344727,0.55356982,0.01120411
1,655.36053467,0.55105256,0.01322256
1,775.82049561,0.55040315,0.01417699
1,859.36010742,0.54998316,0.01479402
1,922.71667480,0.54965384,0.01524182
1,973.47955322,0.54937733,0.01559902
2,0.07185633,0.05250665,-0.00524482
2,15.99235153,0.78036983,-0.00289132
2,20.79308319,0.79263308,-0.00278236
2,23.49497032,0.79746062,-0.00287984
2,25.43817139,0.79987051,-0.00297340
2,26.95578957,0.80104481,-0.00300692
2,28.21434021,0.80096117,-0.00303508
2,29.30572319,0.80179069,-0.00303940
2,30.30331802,0.80247484,-0.00309571
2,31.20276642,0.80230532,-0.00315295
