seed,total-variance,feature0-linear,feature1-xor_xor_xor
0,0.12106884,0.01853516,-0.00357791
0,10.63630295,0.65964047,-0.00100082
0,16.52020264,0.69437320,-0.00087858
0,16.27493286,0.70041222,-0.00101328
0,16.23107147,0.70259916,-0.00095609
0,16.20514297,0.70350392,-0.00091394
0,16.17278290,0.70314761,-0.00088796
0,16.15420914,0.70252727,-0.00086603
0,16.16545868,0.70139508,-0.00085987
0,16.19239044,0.70027039,-0.00086747
0,16.21629906,0.69982285,-0.00086459
0,16.24227905,0.69893011,-0.00086845
0,16.26863670,0.69780957,-0.00089039
0,16.29937363,0.69724340,-0.00088231
0,16.33299446,0.69653242,-0.00087340
0,16.36351204,0.69606236,-0.00085017
0,16.39635849,0.69494251,-0.00083743
0,16.43264389,0.69379323,-0.00082960
0,16.46820450,0.69251908,-0.00083631
0,16.49756813,0.69120986,-0.00084900
0,16.53651619,0.69019412,-0.00085837
0,16.58389282,0.68902082,-0.00087115
0,16.63352013,0.68805192,-0.00088272
0,16.68513870,0.68709773,-0.00089361
0,16.74429131,0.68563487,-0.00090566
0,16.79742432,0.68423957,-0.00091755
0,16.85420990,0.68266458,-0.00092746
0,16.90775871,0.68132450,-0.00094523
0,16.96409416,0.67952369,-0.00096465
0,17.02466011,0.67775564,-0.00098841
0,17.09305000,0.67700450,-0.00101309
0,17.16625404,0.67803521,-0.00102819
0,17.24543381,0.68011351,-0.00103838
0,17.32628822,0.67982849,-0.00105123
0,17.40880775,0.67840797,-0.00105894
0,17.48687363,0.67644748,-0.00107627
0,17.55560875,0.67525970,-0.00108636
0,17.61692810,0.67414262,-0.00109670
0,17.68684387,0.67267371,-0.00110039
0,17.76299667,0.67100099,-0.00111438
0,17.83557892,0.66915674,-0.00111374
0,17.90560150,0.66699337,-0.00110520
0,17.96455193,0.66429488,-0.00109775
0,18.03072357,0.66157868,-0.00109137
0,18.09206200,0.65913140,-0.00111146
0,18.15181732,0.65691050,-0.00112955
0,18.23140335,0.65469731,-0.00113350
0,18.32809448,0.65258441,-0.00114074
0,18.45448685,0.65002150,-0.00115237
0,18.51549530,0.63908349,-0.00028897
0,18.01777649,0.61609124,0.00343828
0,17.59693718,0.54522520,0.03037250
0,20.50609207,0.46422570,0.11398700
0,22.03915215,0.43082807,0.14665461
0,23.11822891,0.41668340,0.16240813
0,23.89547348,0.40818122,0.17241115
0,24.49081039,0.40221722,0.17959781
1,0.08838252,0.01817195,-0.00210407
1,8.12533379,0.68154147,-0.00395527
1,15.70810509,0.72011783,-0.00398542
1,13.17198372,0.71726330,-0.00346621
1,13.08366680,0.71785214,-0.00346872
1,12.98336983,0.71822237,-0.00347302
1,12.90059566,0.71888349,-0.00347635
1,12.82813263,0.71863382,-0.00348197
1,12.78057861,0.71882942,-0.00351151
1,12.73798084,0.71997309,-0.00353497
1,12.69015789,0.72087899,-0.00352950
1,12.66964722,0.72063248,-0.00351471
1,12.66394043,0.71980593,-0.00351514
1,12.66144562,0.71924384,-0.00351866
1,12.66004944,0.71849622,-0.00353495
1,12.64606094,0.71811847,-0.00354916
1,12.65515995,0.71754997,-0.00356594
1,12.67388439,0.71726756,-0.00358227
1,12.69968319,0.71716311,-0.00360216
1,12.72587585,0.71699735,-0.00362411
1,12.74518204,0.71661170,-0.00364802
1,12.77554035,0.71657022,-0.00368081
1,12.79404831,0.71640607,-0.00372030
1,12.81314564,0.71621531,-0.00376401
1,12.83446026,0.71644006,-0.00378885
1,12.85655117,0.71668412,-0.00380869
1,12.86868286,0.71735230,-0.00383133
1,12.89206696,0.71836740,-0.00386149
1,12.91156387,0.71887174,-0.00387575
1,12.92736530,0.71912310,-0.00388931
1,12.94524956,0.71953009,-0.00390118
1,12.96913815,0.71999190,-0.00390955
1,12.99912071,0.72085418,-0.00391299
1,13.02168655,0.72216389,-0.00392141
1,13.06323814,0.72258891,-0.00393236
1,13.08881855,0.72324984,-0.00395114
1,13.11269760,0.72366244,-0.00396117
1,13.15006256,0.72402001,-0.00397097
1,13.19039059,0.72425311,-0.00397432
1,13.22712708,0.72453698,-0.00397949
1,13.26357079,0.72479034,-0.00398379
1,13.30405903,0.72482064,-0.00398741
1,13.34060478,0.72465400,-0.00399052
1,13.38892555,0.72444369,-0.00399297
1,13.43681049,0.72391047,-0.00399987
1,13.47948360,0.72349378,-0.00401093
1,13.55193901,0.72250462,-0.00400231
1,13.62897873,0.72230795,-0.00400486
1,13.71238804,0.72182488,-0.00400206
1,13.79756737,0.72112222,-0.00400197
1,13.91042328,0.72007455,-0.00399657
1,14.00848007,0.71896967,-0.00399915
1,14.12835789,0.71775769,-0.00400050
1,14.26349068,0.71625632,-0.00397963
1,14.38844681,0.71490238,-0.00396364
1,14.49998283,0.71348101,-0.00393753
1,14.65547657,0.71269494,-0.00391747
1,14.80784512,0.71221456,-0.00389808
1,15.01666451,0.70973886,-0.00369944
1,15.09997654,0.70094560,-0.00238805
1,15.54773903,0.66668889,0.01120774
1,18.86301231,0.53122936,0.08439063
1,21.57203293,0.48463799,0.11779295
1,23.16346741,0.46493436,0.13295264
1,24.25125122,0.45278703,0.14220109
1,25.07649612,0.44437190,0.14865379
2,0.13892905,0.04421744,-0.00258720
2,11.08343220,0.75018065,-0.00316900
2,17.37708473,0.77863681,-0.00230901
2,16.92689133,0.78563019,-0.00253894
2,16.92886925,0.78584465,-0.00252396
2,16.97055626,0.78565655,-0.00252994
2,17.02340698,0.78544288,-0.00254513
2,17.04764748,0.78496850,-0.00251558
2,17.07693672,0.78429410,-0.00249074
2,17.11985397,0.78378735,-0.00249094
2,17.14576149,0.78306334,-0.00250841
2,17.17778397,0.78217005,-0.00251561
2,17.21900177,0.78152461,-0.00252526
2,17.26293182,0.78094719,-0.00254036
2,17.30078888,0.78023565,-0.00256703
2,17.35237122,0.77947282,-0.00257331
2,17.40362549,0.77903899,-0.00259769
2,17.45573807,0.77873736,-0.00263688
2,17.52701950,0.77837152,-0.00268071
2,17.58405113,0.77798933,-0.00272887
2,17.63913345,0.77762439,-0.00278055
2,17.70150566,0.77734177,-0.00279878
2,17.77585220,0.77711660,-0.00279193
2,17.85174942,0.77653048,-0.00280216
2,17.92525864,0.77619326,-0.00281244
2,18.00026131,0.77562716,-0.00278007
2,18.08395004,0.77489639,-0.00273141
2,18.16079521,0.77377348,-0.00269345
2,18.23679733,0.77242306,-0.00264403
2,18.31770897,0.77119761,-0.00261784
2,18.40673065,0.76999450,-0.00261130
2,18.50154495,0.76908583,-0.00260574
2,18.60490608,0.76865626,-0.00257154
2,18.71371651,0.76898059,-0.00248694
2,18.82231522,0.76942357,-0.00238374
2,18.93931007,0.77015165,-0.00230006
2,19.07254028,0.77100484,-0.00225328
2,19.21684647,0.77214179,-0.00224269
2,19.35377884,0.77288756,-0.00224277
2,19.49890137,0.77430726,-0.00224302
2,19.66745758,0.77559961,-0.00224521
2,19.82745743,0.77473384,-0.00223610
2,20.02001953,0.77429307,-0.00223505
2,20.23330498,0.77378252,-0.00222588
2,20.46120071,0.77282955,-0.00222744
2,20.69934082,0.77201683,-0.00223390
2,20.95336342,0.77110755,-0.00225062
2,21.23739815,0.77042671,-0.00226188
2,21.55271530,0.76945705,-0.00227428
2,21.88251114,0.76810443,-0.00229387
2,22.20972443,0.76637990,-0.00230425
2,22.56563568,0.76512099,-0.00231698
2,22.93788147,0.76388215,-0.00233877
2,23.31707764,0.76222812,-0.00235201
2,23.75953102,0.76129810,-0.00237505
2,24.16524887,0.75979170,-0.00238675
2,24.58426666,0.75841918,-0.00239996
2,25.03577805,0.75632424,-0.00241258
2,25.53452682,0.75507965,-0.00243111
2,26.04162025,0.75370224,-0.00244195
2,26.47095871,0.75172481,-0.00242659
2,26.93068695,0.75047867,-0.00243591
2,27.31424141,0.74820465,-0.00243180
2,27.72663689,0.74612224,-0.00242742
2,27.98588943,0.74522603,-0.00240411
2,28.27571487,0.74331934,-0.00238371
2,28.32408905,0.74132723,-0.00234823
2,28.07179260,0.73982623,-0.00231447
2,27.13373566,0.73547974,-0.00227233
2,26.45130539,0.73104207,-0.00226234
2,25.13998795,0.72487451,-0.00222093
2,24.26808167,0.71723135,-0.00204275
2,23.49704552,0.70201184,-0.00024865
2,24.43549538,0.64276522,0.01937453
2,26.49853134,0.57186159,0.06112026
2,27.79229164,0.54128044,0.08284487
2,28.67607117,0.52617083,0.09450009
2,29.32645416,0.51740261,0.10211727
2,29.84045982,0.51175506,0.10764024
2,30.26054764,0.50714831,0.11195066
2,30.61265755,0.50271886,0.11540688
2,30.91529655,0.49875019,0.11834420
2,31.17584991,0.49551347,0.12082590
2,31.41090202,0.49262871,0.12303907
2,31.62514687,0.49009544,0.12500958
2,31.82080078,0.48786023,0.12676070
2,32.00137711,0.48586131,0.12834284
2,32.16992188,0.48402364,0.12979019
2,32.32666779,0.48239105,0.13109709
2,32.47394943,0.48086515,0.13231896
2,32.61243439,0.47944731,0.13346048
2,32.74335480,0.47813560,0.13452560
2,32.86724854,0.47691947,0.13551571
2,32.98569107,0.47575885,0.13645659
2,33.09844589,0.47468395,0.13733815
2,33.20627975,0.47367003,0.13817438
2,33.30936050,0.47271236,0.13896827
2,33.40814209,0.47179805,0.13972852
2,33.50246429,0.47093623,0.14045287
2,33.59313583,0.47011152,0.14114379
2,33.68019485,0.46932427,0.14180275
2,33.76404572,0.46857292,0.14243456
2,33.84525681,0.46784565,0.14304325
2,33.92357635,0.46714548,0.14363377
